high,price,open,low,relvolume,symbol,percentchange,watchers,hourchange,sentiment
459.96,458.25,459.09,455.23,0.3979,NOC,0.659,8013,0,0.0
8.445,7.62,8.35,7.57,0.2612,CVNA,-6.9597,23411,-4,-0.74
160.77,158.28,159.94,157.87,0.6029,AAPL,-1.2293,876594,5,-0.48
200.21,195.83,199.36,191.61,0.5969,ENPH,-0.0816,37292,1,-0.21
119.4,118.64,118.9,118.14,0.6373,EA,-0.3276,20715,0,-5.45
197.39,191.81,194.415,189.94,0.6504,TSLA,0.7353,889478,7,-0.73
104.76,102.46,104.615,101.9273,0.6543,GOOGL,-2.8263,159780,-2,-0.67
29.73,29.18,29.37,29.08,0.6526,INTC,-0.6131,130884,-1,1.14
269.94,265.31,268.37,263.6501,0.6791,NVDA,-0.9261,420367,-2,-0.95
281.4589,276.38,280.5,275.52,0.6882,MSFT,-1.4934,442439,5,-0.23
5.88,5.76,5.82,5.73,0.5937,SOFI,0.3484,91737,1,0.35
98.93,96.61,98.02,95.425,0.8904,AMD,-1.368,456283,6,-2.21
130.255,129.31,126.47,126.47,1.0705,IBM,3.2086,51335,1,4.09
87.38,86.64,87.12,86.33,1.0594,SONY,-1.0168,2080,0,0.0
205.86,202.84,204.81,201.37,0.4942,META,-1.5388,512185,5,-0.79
129.38,128.49,126.79,126.29,1.2406,JPM,2.8661,82438,2,-1.68
99.335,98.04,99.07,97.08,0.5885,AMZN,-0.0917,587199,5,-0.49
4.58,4.55,4.51,4.3,0.5515,AMC,1.7897,411959,-2,-0.46
