open,relvolume,low,price,symbol,percentchange,high,watchers,hourchange,sentiment
104.615,0.6543,101.9273,102.46,GOOGL,-2.8263,104.76,159780,0,-1.16
29.37,0.6526,29.08,29.18,INTC,-0.6131,29.73,130884,0,0.97
268.37,0.6791,263.6501,265.31,NVDA,-0.9261,269.94,420367,0,-1.01
280.5,0.6882,275.52,276.38,MSFT,-1.4934,281.4589,442443,4,-0.58
5.82,0.5937,5.73,5.76,SOFI,0.3484,5.88,91739,2,0.42
98.02,0.8904,95.425,96.61,AMD,-1.368,98.93,456283,0,-2.23
126.47,1.0705,126.47,129.31,IBM,3.2086,130.255,51335,0,4.09
87.12,1.0594,86.33,86.64,SONY,-1.0168,87.38,2080,0,0.0
204.81,0.4942,201.37,202.84,META,-1.5388,205.86,512187,2,-0.91
126.79,1.2406,126.29,128.49,JPM,2.8661,129.38,82438,0,-1.43
99.07,0.5885,97.08,98.04,AMZN,-0.0917,99.335,587204,5,-0.37
4.51,0.5515,4.3,4.55,AMC,1.7897,4.58,411960,1,-0.63
459.09,0.3979,455.23,458.25,NOC,0.659,459.96,8013,0,0.0
159.94,0.6029,157.87,158.28,AAPL,-1.2293,160.77,876596,2,-0.86
8.35,0.2612,7.57,7.62,CVNA,-6.9597,8.445,23411,0,-0.62
199.36,0.5969,191.61,195.83,ENPH,-0.0816,200.21,37294,2,-0.21
118.9,0.6373,118.14,118.64,EA,-0.3276,119.4,20715,0,-5.45
194.415,0.6504,189.94,191.81,TSLA,0.7353,197.39,889486,8,-0.82
