percentchange,open,low,symbol,relvolume,high,price,watchers,hourchange,sentiment
-0.6131,29.37,29.08,INTC,0.6526,29.73,29.18,130884,0,0.97
-1.4934,280.5,275.52,MSFT,0.6882,281.4589,276.38,442443,4,-0.58
-0.9261,268.37,263.6501,NVDA,0.6791,269.94,265.31,420367,0,-1.01
0.3484,5.82,5.73,SOFI,0.5937,5.88,5.76,91739,2,0.42
-1.0168,87.12,86.33,SONY,1.0594,87.38,86.64,2080,0,0.0
3.2086,126.47,126.47,IBM,1.0705,130.255,129.31,51335,0,4.09
-1.368,98.02,95.425,AMD,0.8904,98.93,96.61,456283,0,-2.23
2.8661,126.79,126.29,JPM,1.2406,129.38,128.49,82438,0,-1.43
-1.5388,204.81,201.37,META,0.4942,205.86,202.84,512187,2,-0.91
-0.0917,99.07,97.08,AMZN,0.5885,99.335,98.04,587204,5,-0.37
0.659,459.09,455.23,NOC,0.3979,459.96,458.25,8013,0,0.0
-1.2293,159.94,157.87,AAPL,0.6029,160.77,158.28,876596,2,-0.86
1.7897,4.51,4.3,AMC,0.5515,4.58,4.55,411960,1,-0.63
-6.9597,8.35,7.57,CVNA,0.2612,8.445,7.62,23411,0,-0.62
-0.0816,199.36,191.61,ENPH,0.5969,200.21,195.83,37294,2,-0.21
-0.3276,118.9,118.14,EA,0.6373,119.4,118.64,20715,0,-5.45
0.7353,194.415,189.94,TSLA,0.6504,197.39,191.81,889486,8,-0.82
-2.8263,104.615,101.9273,GOOGL,0.6543,104.76,102.46,159780,0,-1.16
