relvolume,high,symbol,low,open,price,percentchange,watchers,hourchange,sentiment
0.6882,281.4589,MSFT,275.52,280.5,276.38,-1.4934,442445,2,-0.71
0.6373,119.4,EA,118.14,118.9,118.64,-0.3276,20715,0,-5.45
0.6791,269.94,NVDA,263.6501,268.37,265.31,-0.9261,420376,9,-0.96
0.5937,5.88,SOFI,5.73,5.82,5.76,0.3484,91739,0,0.49
1.0594,87.38,SONY,86.33,87.12,86.64,-1.0168,2080,0,0.0
1.0705,130.255,IBM,126.47,126.47,129.31,3.2086,51334,-1,4.09
1.2406,129.38,JPM,126.29,126.79,128.49,2.8661,82439,1,-0.63
0.8904,98.93,AMD,95.425,98.02,96.61,-1.368,456283,0,-2.2
0.4942,205.86,META,201.37,204.81,202.84,-1.5388,512187,0,-1.09
0.3979,459.96,NOC,455.23,459.09,458.25,0.659,8012,-1,0.0
0.6029,160.77,AAPL,157.87,159.94,158.28,-1.2293,876599,3,-1.03
0.5885,99.335,AMZN,97.08,99.07,98.04,-0.0917,587206,2,-0.48
0.2612,8.445,CVNA,7.57,8.35,7.62,-6.9597,23412,1,-0.26
0.5515,4.58,AMC,4.3,4.51,4.55,1.7897,411960,0,-0.8
0.5969,200.21,ENPH,191.61,199.36,195.83,-0.0816,37294,0,-0.19
0.6543,104.76,GOOGL,101.9273,104.615,102.46,-2.8263,159785,5,-1.37
0.6504,197.39,TSLA,189.94,194.415,191.81,0.7353,889486,0,-0.73
0.6526,29.73,INTC,29.08,29.37,29.18,-0.6131,130884,0,0.75
