symbol,open,percentchange,relvolume,price,high,low,watchers,hourchange,sentiment
MSFT,280.5,-1.4934,0.6882,276.38,281.4589,275.52,442445,2,-0.71
EA,118.9,-0.3276,0.6373,118.64,119.4,118.14,20715,0,-5.45
NVDA,268.37,-0.9261,0.6791,265.31,269.94,263.6501,420376,9,-0.96
SOFI,5.82,0.3484,0.5937,5.76,5.88,5.73,91739,0,0.49
SONY,87.12,-1.0168,1.0594,86.64,87.38,86.33,2080,0,0.0
IBM,126.47,3.2086,1.0705,129.31,130.255,126.47,51334,-1,4.09
JPM,126.79,2.8661,1.2406,128.49,129.38,126.29,82439,1,-0.63
AMD,98.02,-1.368,0.8904,96.61,98.93,95.425,456283,0,-2.2
META,204.81,-1.5388,0.4942,202.84,205.86,201.37,512187,0,-1.09
NOC,459.09,0.659,0.3979,458.25,459.96,455.23,8012,-1,0.0
AAPL,159.94,-1.2293,0.6029,158.28,160.77,157.87,876599,3,-1.03
AMZN,99.07,-0.0917,0.5885,98.04,99.335,97.08,587206,2,-0.48
CVNA,8.35,-6.9597,0.2612,7.62,8.445,7.57,23412,1,-0.26
AMC,4.51,1.7897,0.5515,4.55,4.58,4.3,411960,0,-0.8
ENPH,199.36,-0.0816,0.5969,195.83,200.21,191.61,37294,0,-0.19
GOOGL,104.615,-2.8263,0.6543,102.46,104.76,101.9273,159785,5,-1.37
TSLA,194.415,0.7353,0.6504,191.81,197.39,189.94,889486,0,-0.73
INTC,29.37,-0.6131,0.6526,29.18,29.73,29.08,130884,0,0.75
