symbol,low,relvolume,percentchange,open,high,price,watchers,hourchange,sentiment
MSFT,275.52,0.6882,-1.4934,280.5,281.4589,276.38,442446,1,-1.08
EA,118.14,0.6373,-0.3276,118.9,119.4,118.64,20715,0,-5.45
NVDA,263.6501,0.6791,-0.9261,268.37,269.94,265.31,420377,1,-0.89
SOFI,5.73,0.5937,0.3484,5.82,5.88,5.76,91739,0,0.61
SONY,86.33,1.0594,-1.0168,87.12,87.38,86.64,2080,0,0.0
IBM,126.47,1.0705,3.2086,126.47,130.255,129.31,51335,1,4.09
JPM,126.29,1.2406,2.8661,126.79,129.38,128.49,82438,-1,-0.06
AMD,95.425,0.8904,-1.368,98.02,98.93,96.61,456285,2,-2.09
META,201.37,0.4942,-1.5388,204.81,205.86,202.84,512188,1,-1.27
NOC,455.23,0.3979,0.659,459.09,459.96,458.25,8012,0,0.0
AAPL,157.87,0.6029,-1.2293,159.94,160.77,158.28,876599,0,-0.98
AMZN,97.08,0.5885,-0.0917,99.07,99.335,98.04,587206,0,-0.84
CVNA,7.57,0.2612,-6.9597,8.35,8.445,7.62,23412,0,-0.39
AMC,4.3,0.5515,1.7897,4.51,4.58,4.55,411960,0,-0.71
ENPH,191.61,0.5969,-0.0816,199.36,200.21,195.83,37295,1,-0.15
GOOGL,101.9273,0.6543,-2.8263,104.615,104.76,102.46,159785,0,-1.33
TSLA,189.94,0.6504,0.7353,194.415,197.39,191.81,889486,0,-0.66
INTC,29.08,0.6526,-0.6131,29.37,29.73,29.18,130885,1,0.97
