low,price,high,open,relvolume,symbol,percentchange,watchers,hourchange,sentiment
275.52,276.38,281.4589,280.5,0.6882,MSFT,-1.4934,442446,1,-1.08
118.14,118.64,119.4,118.9,0.6373,EA,-0.3276,20715,0,-5.45
263.6501,265.31,269.94,268.37,0.6791,NVDA,-0.9261,420377,1,-0.89
5.73,5.76,5.88,5.82,0.5937,SOFI,0.3484,91739,0,0.61
86.33,86.64,87.38,87.12,1.0594,SONY,-1.0168,2080,0,0.0
126.47,129.31,130.255,126.47,1.0705,IBM,3.2086,51335,1,4.09
126.29,128.49,129.38,126.79,1.2406,JPM,2.8661,82438,-1,-0.06
95.425,96.61,98.93,98.02,0.8904,AMD,-1.368,456285,2,-2.09
201.37,202.84,205.86,204.81,0.4942,META,-1.5388,512188,1,-1.27
455.23,458.25,459.96,459.09,0.3979,NOC,0.659,8012,0,0.0
157.87,158.28,160.77,159.94,0.6029,AAPL,-1.2293,876599,0,-0.98
97.08,98.04,99.335,99.07,0.5885,AMZN,-0.0917,587206,0,-0.84
7.57,7.62,8.445,8.35,0.2612,CVNA,-6.9597,23412,0,-0.39
4.3,4.55,4.58,4.51,0.5515,AMC,1.7897,411960,0,-0.71
191.61,195.83,200.21,199.36,0.5969,ENPH,-0.0816,37295,1,-0.15
101.9273,102.46,104.76,104.615,0.6543,GOOGL,-2.8263,159785,0,-1.33
189.94,191.81,197.39,194.415,0.6504,TSLA,0.7353,889486,0,-0.66
29.08,29.18,29.73,29.37,0.6526,INTC,-0.6131,130885,1,0.97
