low,open,percentchange,high,symbol,relvolume,price,watchers,hourchange,sentiment
275.52,280.5,-1.4934,281.4589,MSFT,0.6882,276.38,442449,3,-1.03
118.14,118.9,-0.3276,119.4,EA,0.6373,118.64,20715,0,-5.45
263.6501,268.37,-0.9261,269.94,NVDA,0.6791,265.31,420377,0,-0.87
5.73,5.82,0.3484,5.88,SOFI,0.5937,5.76,91743,4,0.59
86.33,87.12,-1.0168,87.38,SONY,1.0594,86.64,2080,0,0.0
126.47,126.47,3.2086,130.255,IBM,1.0705,129.31,51338,3,4.44
126.29,126.79,2.8661,129.38,JPM,1.2406,128.49,82440,2,-0.14
95.425,98.02,-1.368,98.93,AMD,0.8904,96.61,456285,0,-2.09
201.37,204.81,-1.5388,205.86,META,0.4942,202.84,512189,1,-1.43
455.23,459.09,0.659,459.96,NOC,0.3979,458.25,8012,0,0.0
157.87,159.94,-1.2293,160.77,AAPL,0.6029,158.28,876604,5,-0.91
97.08,99.07,-0.0917,99.335,AMZN,0.5885,98.04,587208,2,-0.82
7.57,8.35,-6.9597,8.445,CVNA,0.2612,7.62,23411,-1,-0.56
4.3,4.51,1.7897,4.58,AMC,0.5515,4.55,411960,0,-0.68
191.61,199.36,-0.0816,200.21,ENPH,0.5969,195.83,37297,2,-0.35
101.9273,104.615,-2.8263,104.76,GOOGL,0.6543,102.46,159786,1,-1.37
189.94,194.415,0.7353,197.39,TSLA,0.6504,191.81,889491,5,-0.67
29.08,29.37,-0.6131,29.73,INTC,0.6526,29.18,130885,0,1.63
