symbol,high,open,low,price,percentchange,relvolume,watchers,hourchange,sentiment
NOC,461.5,458.31,458.22,458.93,0.1484,0.1668,8016,1,0.0
MSFT,276.13,275.79,272.05,272.21,-1.5088,0.4158,442482,1,-2.24
NVDA,265.13,264.47,258.5,261.755,-1.3399,0.5192,420420,7,0.14
META,200.43,200.15,197.9,198.6,-2.0903,0.3812,512223,1,-2.94
ENPH,196.515,196.0,191.24,191.24,-2.3439,0.2245,37299,1,-2.58
TSLA,192.35,192.0,185.43,186.92,-2.5494,0.4071,889569,9,-2.47
AAPL,158.1277,157.97,155.98,156.0875,-1.3852,0.3889,876653,8,-2.31
IBM,129.66,129.18,128.8,129.0069,-0.2344,0.3044,51344,1,4.42
JPM,129.342,128.71,127.75,127.87,-0.4825,0.5077,82451,0,-0.94
EA,118.4425,118.085,117.38,117.54,-0.9272,0.327,20715,-1,-1.01
GOOGL,102.4,102.44,99.7401,100.13,-2.2741,0.5377,159817,2,-3.76
AMZN,98.44,98.11,96.29,96.32,-1.7544,0.343,587253,4,-1.17
AMD,96.93,96.77,92.87,93.26,-3.4675,0.6902,456307,4,-1.33
SONY,86.6682,86.11,85.745,85.76,-1.0157,0.5118,2081,0,0.0
INTC,29.23,29.075,28.63,28.985,-0.6683,0.4339,130891,0,-1.14
CVNA,7.72,7.57,7.22,7.325,-3.8714,0.1652,23394,-4,0.02
SOFI,5.79,5.74,5.51,5.52,-4.1667,0.3898,91755,2,0.77
AMC,5.3787,4.51,4.46,5.0908,11.8857,1.1598,411974,5,-0.28
