open,symbol,high,price,relvolume,percentchange,low,watchers,hourchange,sentiment
458.31,NOC,461.5,458.585,0.1801,0.0731,458.22,8016,0,-2.78
275.79,MSFT,276.13,272.93,0.4362,-1.2483,272.05,442486,4,-2.62
264.47,NVDA,265.13,262.1,0.539,-1.2099,258.5,420423,3,-0.39
200.15,META,200.43,199.12,0.4001,-1.834,197.9,512220,-3,-3.47
196.0,ENPH,196.515,191.18,0.2391,-2.3745,191.05,37298,-1,-3.4
192.0,TSLA,192.35,187.58,0.4282,-2.2053,185.43,889585,16,-3.02
157.97,AAPL,158.1277,156.46,0.409,-1.1499,155.98,876656,3,-2.51
129.18,IBM,129.66,128.98,0.3184,-0.2552,128.8,51344,0,3.35
128.71,JPM,129.3417,128.205,0.5341,-0.2218,127.75,82450,-1,-1.89
118.085,EA,118.4425,117.65,0.3458,-0.8345,117.38,20715,0,-1.01
102.44,GOOGL,102.4,100.53,0.5639,-1.8837,99.7401,159817,0,-4.76
98.11,AMZN,98.44,96.755,0.3682,-1.3107,96.29,587260,7,-1.74
96.77,AMD,96.93,93.6839,0.7161,-3.0288,92.87,456309,2,-1.22
86.11,SONY,86.6682,85.9073,0.5324,-0.8457,85.745,2081,0,0.0
29.075,INTC,29.23,28.9625,0.4522,-0.7454,28.63,130891,0,-0.81
7.57,CVNA,7.72,7.365,0.1726,-3.3465,7.22,23387,-7,-0.32
5.74,SOFI,5.79,5.5399,0.4044,-3.8212,5.51,91755,0,0.53
4.51,AMC,5.3787,5.125,1.3669,12.6374,4.46,412081,107,-0.37
