symbol,low,percentchange,relvolume,price,high,open,watchers,hourchange,sentiment
NOC,457.59,-0.072,0.1943,457.92,461.5,458.31,8016,0,-2.78
MSFT,272.05,-1.241,0.4504,272.95,276.13,275.79,442486,4,-2.62
NVDA,258.5,-1.2551,0.5552,261.98,265.13,264.47,420423,3,-0.39
META,197.9,-1.6121,0.4171,199.57,200.43,200.15,512220,-3,-3.47
ENPH,190.624,-2.4509,0.2639,191.0304,196.515,196.0,37298,-1,-3.4
TSLA,185.43,-2.3669,0.4451,187.27,192.35,192.0,889585,16,-3.02
AAPL,155.98,-1.1625,0.4268,156.44,158.1277,157.97,876656,3,-2.51
IBM,128.8,-0.2939,0.3361,128.93,129.66,129.18,51344,0,3.35
JPM,127.75,-0.0817,0.5768,128.385,129.3417,128.71,82450,-1,-1.89
EA,117.38,-0.7797,0.3633,117.715,118.4425,118.085,20715,0,-1.01
GOOGL,99.7401,-1.5713,0.5869,100.85,102.4,102.44,159817,0,-4.76
AMZN,96.29,-1.4178,0.3829,96.65,98.44,98.11,587260,7,-1.74
AMD,92.87,-2.8361,0.7432,93.87,96.93,96.77,456309,2,-1.22
SONY,85.745,-0.9234,0.5541,85.84,86.6682,86.11,2081,0,0.0
INTC,28.63,-0.2402,0.4748,29.1099,29.23,29.075,130891,0,-0.81
CVNA,7.22,-3.6089,0.1792,7.345,7.72,7.57,23387,-7,-0.32
SOFI,5.51,-3.1302,0.431,5.5797,5.79,5.74,91755,0,0.53
AMC,4.46,17.989,1.5734,5.3685,5.38,4.51,412081,107,-0.37
