low,relvolume,percentchange,open,symbol,price,high,watchers,hourchange,sentiment
457.59,0.2133,0.2204,458.31,NOC,459.26,461.5,8016,0,-2.78
272.05,0.4792,-0.9009,275.79,MSFT,273.89,276.13,442486,4,-2.62
258.5,0.5861,-1.2476,264.47,NVDA,262.0,265.13,420423,3,-0.39
197.9,0.4479,-1.2917,200.15,META,200.22,200.43,512220,-3,-3.47
190.624,0.2923,-1.5064,196.0,ENPH,192.88,196.515,37298,-1,-3.4
185.43,0.4701,-1.9884,192.0,TSLA,187.996,192.35,889585,16,-3.02
155.98,0.4567,-0.7897,157.97,AAPL,157.03,158.1277,876656,3,-2.51
128.8,0.3613,-0.0619,129.18,IBM,129.23,129.66,51344,0,3.35
127.75,0.6268,0.1634,128.71,JPM,128.7,129.3417,82450,-1,-1.89
117.38,0.3891,-0.5057,118.085,EA,118.04,118.4425,20715,0,-1.01
99.7401,0.6129,-1.5399,102.44,GOOGL,100.8822,102.4,159817,0,-4.76
96.29,0.4136,-1.1628,98.11,AMZN,96.9,98.44,587260,7,-1.74
92.87,0.7949,-2.6136,96.77,AMD,94.085,96.93,456309,2,-1.22
85.745,0.5743,-0.6521,86.11,SONY,86.075,86.6682,2081,0,0.0
28.63,0.5088,-0.2056,29.075,INTC,29.12,29.23,130891,0,-0.81
7.22,0.1876,-2.6247,7.57,CVNA,7.42,7.72,23387,-7,-0.32
5.51,0.4728,-2.691,5.74,SOFI,5.605,5.79,91755,0,0.53
4.46,2.1019,9.8901,4.51,AMC,5.0,5.5,412081,107,-0.37
