relvolume,price,low,high,percentchange,symbol,open,watchers,hourchange,sentiment
0.2251,459.33,457.59,461.5,0.2357,NOC,458.31,8016,0,-2.78
0.4929,274.23,272.05,276.13,-0.7779,MSFT,275.79,442486,4,-2.62
0.6007,262.81,258.5,265.13,-0.9423,NVDA,264.47,420423,3,-0.39
0.4596,200.36,197.9,200.43,-1.2226,META,200.15,512220,-3,-3.47
0.3026,193.055,190.624,196.515,-1.417,ENPH,196.0,37298,-1,-3.4
0.4826,188.68,185.43,192.35,-1.6318,TSLA,192.0,889585,16,-3.02
0.4713,157.015,155.98,158.1277,-0.7992,AAPL,157.97,876656,3,-2.51
0.372,129.155,128.8,129.66,-0.1199,IBM,129.18,51344,0,3.35
0.6442,128.43,127.75,129.3417,-0.0467,JPM,128.71,82450,-1,-1.89
0.3993,118.05,117.38,118.4425,-0.4973,EA,118.085,20715,0,-1.01
0.6257,100.925,99.7401,102.4,-1.4981,GOOGL,102.44,159817,0,-4.76
0.4245,96.8905,96.29,98.44,-1.1725,AMZN,98.11,587260,7,-1.74
0.8117,94.12,92.87,96.93,-2.5774,AMD,96.77,456309,2,-1.22
0.5904,86.025,85.745,86.6682,-0.7098,SONY,86.11,2081,0,0.0
0.5186,29.125,28.63,29.23,-0.1885,INTC,29.075,130891,0,-0.81
0.1909,7.4496,7.22,7.72,-2.2362,CVNA,7.57,23387,-7,-0.32
0.4874,5.585,5.51,5.79,-3.0382,SOFI,5.74,91755,0,0.53
2.1953,5.0564,4.46,5.5,11.1297,AMC,4.51,412081,107,-0.37
