relvolume,high,price,open,low,percentchange,symbol,watchers,hourchange,sentiment
0.2735,461.5,459.13,458.31,457.59,0.192,NOC,8016,0,-2.78
0.5315,276.13,274.49,275.79,272.05,-0.6838,MSFT,442486,4,-2.62
0.6429,265.13,262.995,264.47,258.5,-0.8726,NVDA,420423,3,-0.39
0.4952,200.43,199.91,200.15,197.9,-1.4445,META,512220,-3,-3.47
0.3371,196.515,192.54,196.0,190.624,-1.68,ENPH,37298,-1,-3.4
0.5185,192.35,188.8505,192.0,185.43,-1.5429,TSLA,889585,16,-3.02
0.5189,158.1277,157.39,157.97,155.98,-0.5623,AAPL,876656,3,-2.51
0.4161,129.66,129.12,129.18,128.8,-0.1469,IBM,51344,0,3.35
0.6982,129.3417,128.625,128.71,127.75,0.1051,JPM,82450,-1,-1.89
0.4567,118.4425,117.94,118.085,117.38,-0.59,EA,20715,0,-1.01
0.6618,102.4,100.835,102.44,99.7401,-1.586,GOOGL,159817,0,-4.76
0.4644,98.44,97.205,98.11,96.29,-0.8517,AMZN,587260,7,-1.74
0.8674,96.93,94.21,96.77,92.87,-2.4842,AMD,456309,2,-1.22
0.6821,86.6682,85.835,86.11,85.745,-0.9291,SONY,2081,0,0.0
0.5713,29.23,29.205,29.075,28.63,0.0857,INTC,130891,0,-0.81
0.2099,7.72,7.4,7.57,7.22,-2.8871,CVNA,23387,-7,-0.32
0.5372,5.79,5.595,5.74,5.51,-2.8646,SOFI,91755,0,0.53
2.3699,5.5,5.11,4.51,4.46,12.3077,AMC,412081,107,-0.37
