symbol,high,percentchange,low,relvolume,price,open,watchers,hourchange,sentiment
AMC,5.5,13.1868,4.46,2.4732,5.15,4.51,412284,203,1.03
SOFI,5.79,-2.9514,5.51,0.5751,5.59,5.74,91753,-2,0.06
INTC,29.33,0.377,28.63,0.6633,29.29,29.075,130891,0,-1.2
GOOGL,102.4,-1.3957,99.7401,0.707,101.03,102.44,159815,-2,-4.78
CVNA,7.72,-3.4121,7.22,0.235,7.36,7.57,23378,-9,-0.12
ENPH,196.515,-1.1796,190.624,0.3801,193.52,196.0,37300,2,-2.44
IBM,129.66,0.0232,128.8,0.4651,129.34,129.18,51342,-2,1.62
MSFT,276.13,-0.4161,272.05,0.5713,275.23,275.79,442485,-1,-2.16
AAPL,158.1277,-0.398,155.98,0.5555,157.65,157.97,876653,-3,-3.16
AMD,96.93,-2.1219,92.87,0.907,94.56,96.77,456315,6,-0.56
JPM,129.3417,0.3035,127.75,0.7437,128.88,128.71,82446,-4,-4.76
EA,118.4425,-0.5226,117.38,0.5197,118.02,118.085,20714,-1,4.44
NOC,461.5,0.1637,457.59,0.3387,459.0,458.31,8018,2,0.0
META,201.03,-1.0649,197.9,0.535,200.68,200.15,512228,8,-3.87
NVDA,265.13,-0.4561,258.5,0.6755,264.1,264.47,420425,2,-1.21
TSLA,192.35,-1.3659,185.43,0.5363,189.19,192.0,889584,-1,-3.17
AMZN,98.44,-0.816,96.29,0.4953,97.24,98.11,587286,26,-1.74
SONY,86.6682,-0.9464,85.74,0.8063,85.82,86.11,2081,0,0.0
