symbol,open,price,relvolume,low,high,percentchange,watchers,hourchange,sentiment
AAPL,157.97,157.65,0.5555,155.98,158.1277,-0.398,876655,2,-2.81
AMD,96.77,94.56,0.907,92.87,96.93,-2.1219,456316,1,-0.35
JPM,128.71,128.88,0.7437,127.75,129.3417,0.3035,82446,0,-4.76
NOC,458.31,459.0,0.3387,457.59,461.5,0.1637,8020,2,0.0
EA,118.085,118.02,0.5197,117.38,118.4425,-0.5226,20714,0,4.44
NVDA,264.47,264.1,0.6755,258.5,265.13,-0.4561,420428,3,-1.21
META,200.15,200.68,0.535,197.9,201.03,-1.0649,512229,1,-3.87
TSLA,192.0,189.19,0.5363,185.43,192.35,-1.3659,889584,0,-3.17
SONY,86.11,85.82,0.8063,85.74,86.6682,-0.9464,2081,0,0.0
AMZN,98.11,97.24,0.4953,96.29,98.44,-0.816,587289,3,-1.74
AMC,4.51,5.15,2.4732,4.46,5.5,13.1868,412308,24,1.24
SOFI,5.74,5.59,0.5751,5.51,5.79,-2.9514,91751,-2,-0.12
INTC,29.075,29.29,0.6633,28.63,29.33,0.377,130890,-1,-1.2
CVNA,7.57,7.36,0.235,7.22,7.72,-3.4121,23380,2,0.16
GOOGL,102.44,101.03,0.707,99.7401,102.4,-1.3957,159815,0,-4.78
ENPH,196.0,193.52,0.3801,190.624,196.515,-1.1796,37300,0,-2.57
IBM,129.18,129.34,0.4651,128.8,129.66,0.0232,51347,5,1.62
MSFT,275.79,275.23,0.5713,272.05,276.13,-0.4161,442485,0,-2.16
