percentchange,relvolume,low,symbol,open,price,high,watchers,hourchange,sentiment
0.377,0.6633,28.63,INTC,29.075,29.29,29.33,130890,0,-1.37
-1.3957,0.707,99.7401,GOOGL,102.44,101.03,102.4,159813,0,-5.03
-3.4121,0.235,7.22,CVNA,7.57,7.36,7.72,23379,-1,-0.22
-1.1796,0.3801,190.624,ENPH,196.0,193.52,196.515,37300,0,-2.53
0.0232,0.4651,128.8,IBM,129.18,129.34,129.66,51347,0,1.62
-0.398,0.5555,155.98,AAPL,157.97,157.65,158.1277,876657,0,-2.39
-0.4161,0.5713,272.05,MSFT,275.79,275.23,276.13,442491,3,-1.77
-2.1219,0.907,92.87,AMD,96.77,94.56,96.93,456319,0,-0.38
-1.0649,0.535,197.9,META,200.15,200.68,201.03,512233,1,-4.05
0.3035,0.7437,127.75,JPM,128.71,128.88,129.3417,82450,0,-5.06
-0.4561,0.6755,258.5,NVDA,264.47,264.1,265.13,420430,4,-1.17
0.1637,0.3387,457.59,NOC,458.31,459.0,461.5,8020,0,3.57
-1.3659,0.5363,185.43,TSLA,192.0,189.19,192.35,889588,-2,-2.99
-0.5226,0.5197,117.38,EA,118.085,118.02,118.4425,20713,-1,4.44
-0.9464,0.8063,85.74,SONY,86.11,85.82,86.6682,2081,0,0.0
-2.9514,0.5751,5.51,SOFI,5.74,5.59,5.79,91755,4,-0.29
13.1868,2.4732,4.46,AMC,4.51,5.15,5.5,412343,21,0.85
-0.816,0.4953,96.29,AMZN,98.11,97.24,98.44,587292,0,-0.91
