open,relvolume,high,price,percentchange,low,symbol,watchers,hourchange,sentiment
459.38,0.2049,462.27,458.57,-0.0937,458.0836,NOC,8021,1,2.78
278.96,0.4026,280.65,279.4514,1.5338,278.41,MSFT,442530,6,-2.27
268.25,0.5165,270.6697,268.04,1.4919,265.97,NVDA,420470,-1,-1.86
203.56,0.3496,205.28,205.0,2.1527,202.54,META,512242,0,-0.64
196.75,0.5126,203.05,202.645,4.7153,191.385,ENPH,37307,1,0.07
193.13,0.5318,195.28,191.32,1.1259,189.44,TSLA,889629,8,-0.37
159.37,0.4203,160.46,160.12,1.5668,159.35,AAPL,876707,5,-1.19
130.12,0.3016,130.348,129.43,0.0696,129.18,IBM,51344,0,0.52
130.1,0.5034,130.22,129.0,0.0931,128.72,JPM,82459,0,-2.87
118.08,0.2235,118.97,118.9,0.7456,118.08,EA,20709,0,0.0
102.28,0.4315,102.43,101.24,0.2079,100.655,GOOGL,159836,4,2.29
98.69,0.4487,100.29,99.71,2.5401,98.5801,AMZN,587350,5,1.41
96.07,0.6091,96.91,95.61,1.1104,94.87,AMD,456332,-1,-0.57
86.93,0.6721,87.65,87.635,2.1149,86.74,SONY,2084,0,0.0
29.77,1.0622,31.46,31.265,6.7429,29.789,INTC,130903,0,4.99
7.47,0.1645,7.7701,7.67,4.212,7.37,CVNA,23364,-3,-8.24
5.69,0.5062,5.9199,5.7682,3.1878,5.65,SOFI,91760,-2,-1.65
5.14,0.6608,5.2084,4.975,-3.3981,4.83,AMC,412485,2,0.33
