open,price,relvolume,high,percentchange,symbol,low,watchers,hourchange,sentiment
459.38,461.615,0.4154,462.27,0.5697,NOC,457.495,8021,0,25.0
278.96,280.41,0.5914,281.1398,1.8821,MSFT,278.41,442530,0,-1.71
268.25,269.82,0.7093,270.77,2.1658,NVDA,265.97,420470,0,-1.37
203.56,205.26,0.5083,205.72,2.2822,META,202.54,512243,1,0.12
196.75,203.95,0.7832,205.77,5.3896,ENPH,191.385,37308,1,-0.62
193.13,193.87,0.674,195.28,2.4737,TSLA,189.44,889638,9,0.48
159.37,160.65,0.6109,161.04,1.9029,AAPL,159.35,876718,11,-0.3
130.12,129.7,0.4977,130.348,0.2783,IBM,129.18,51343,-1,0.76
130.1,129.14,0.9598,130.22,0.2017,JPM,127.77,82460,1,-0.93
118.08,119.17,0.4098,119.325,0.9744,EA,118.08,20708,-1,0.0
102.28,101.3,0.6183,102.43,0.2672,GOOGL,100.655,159836,0,4.31
98.69,100.195,0.6207,100.4218,3.0389,AMZN,98.5801,587352,2,1.22
96.07,96.04,0.8339,96.91,1.5651,AMD,94.87,456332,0,-0.21
86.93,87.84,1.1442,88.0,2.3538,SONY,86.74,2084,0,0.0
29.77,31.505,1.6683,31.89,7.5623,INTC,29.789,130911,8,7.05
7.47,7.8609,0.2295,7.9,6.8057,CVNA,7.37,23365,1,-7.63
5.69,5.75,0.7071,5.9199,2.8623,SOFI,5.65,91762,2,-1.08
5.14,4.9934,0.765,5.2084,-3.0408,AMC,4.83,412480,-5,-0.59
