price,open,relvolume,symbol,low,percentchange,high,watchers,hourchange,sentiment
100.25,98.69,0.6207,AMZN,98.5801,3.0954,100.4218,587352,2,1.22
5.75,5.69,0.7071,SOFI,5.65,2.8623,5.9199,91762,2,-1.08
269.84,268.25,0.7093,NVDA,265.97,2.1734,270.77,420470,0,-1.37
129.14,130.1,0.9598,JPM,127.77,0.2017,130.22,82460,1,-0.93
101.39,102.28,0.6183,GOOGL,100.655,0.3563,102.43,159836,0,4.31
203.95,196.75,0.7832,ENPH,191.385,5.3896,205.77,37308,1,-0.62
87.87,86.93,1.1442,SONY,86.74,2.3887,88.0,2084,0,0.0
5.0,5.14,0.765,AMC,4.83,-2.9126,5.2084,412480,-5,-0.59
96.09,96.07,0.8339,AMD,94.87,1.618,96.91,456332,0,-0.21
31.52,29.77,1.6683,INTC,29.789,7.6135,31.89,130911,8,7.05
7.87,7.47,0.2295,CVNA,7.37,6.9293,7.9,23365,1,-7.63
193.88,193.13,0.674,TSLA,189.44,2.479,195.28,889638,9,0.48
119.19,118.08,0.4098,EA,118.08,0.9914,119.325,20708,-1,0.0
129.71,130.12,0.4977,IBM,129.18,0.2861,130.348,51343,-1,0.76
160.77,159.37,0.6109,AAPL,159.35,1.9791,161.04,876718,11,-0.3
280.51,278.96,0.5914,MSFT,278.41,1.9184,281.1398,442530,0,-1.71
461.57,459.38,0.4154,NOC,457.495,0.5599,462.27,8021,0,25.0
205.35,203.56,0.5083,META,202.54,2.3271,205.72,512243,1,0.12
