relvolume,low,percentchange,price,high,symbol,open,watchers,hourchange,sentiment
1.6683,29.789,7.6135,31.52,31.89,INTC,29.77,130911,8,7.05
0.674,189.44,2.479,193.88,195.28,TSLA,193.13,889638,9,0.48
0.2295,7.3616,6.9293,7.87,7.9,CVNA,7.47,23365,1,-7.63
0.4098,118.08,0.9914,119.19,119.325,EA,118.08,20708,-1,0.0
0.6109,159.35,1.9791,160.77,161.04,AAPL,159.37,876718,11,-0.3
0.5914,278.41,1.9184,280.51,281.1398,MSFT,278.96,442530,0,-1.71
0.4977,129.18,0.2861,129.71,130.35,IBM,130.12,51343,-1,0.76
0.5083,202.54,2.3271,205.35,205.72,META,203.56,512243,1,0.12
0.4154,457.495,0.5599,461.57,462.58,NOC,459.38,8021,0,25.0
0.6207,98.5801,3.0954,100.25,100.4218,AMZN,98.69,587352,2,1.22
0.7071,5.65,2.8623,5.75,5.9199,SOFI,5.69,91762,2,-1.08
0.7832,191.385,5.3896,203.95,205.77,ENPH,196.75,37308,1,-0.62
0.6183,100.655,0.3563,101.39,102.43,GOOGL,102.28,159836,0,4.31
0.7093,265.97,2.1734,269.84,270.77,NVDA,268.25,420470,0,-1.37
0.9598,127.77,0.2017,129.14,130.22,JPM,130.1,82460,1,-0.93
0.765,4.83,-2.9126,5.0,5.2084,AMC,5.14,412480,-5,-0.59
1.1442,86.74,2.3887,87.87,88.02,SONY,86.93,2084,0,0.0
0.8339,94.87,1.618,96.09,96.91,AMD,96.07,456332,0,-0.21
