open,symbol,high,percentchange,price,low,relvolume,watchers,hourchange,sentiment
278.96,MSFT,281.1398,1.9184,280.51,278.41,0.5914,442530,0,-1.71
159.37,AAPL,161.04,1.9791,160.77,159.35,0.6109,876718,11,-0.3
130.12,IBM,130.35,0.2861,129.71,129.18,0.4977,51343,-1,0.76
203.56,META,205.72,2.3271,205.35,202.54,0.5083,512243,1,0.12
98.69,AMZN,100.4218,3.0954,100.25,98.5801,0.6207,587352,2,1.22
459.38,NOC,462.58,0.5599,461.57,457.495,0.4154,8021,0,25.0
5.69,SOFI,5.9199,2.8623,5.75,5.65,0.7071,91762,2,-1.08
102.28,GOOGL,102.43,0.3563,101.39,100.655,0.6183,159836,0,4.31
5.14,AMC,5.2084,-2.9126,5.0,4.83,0.765,412480,-5,-0.59
196.75,ENPH,205.77,5.3896,203.95,191.385,0.7832,37308,1,-0.62
130.1,JPM,130.22,0.2017,129.14,127.77,0.9598,82460,1,-0.93
268.25,NVDA,270.77,2.1734,269.84,265.97,0.7093,420470,0,-1.37
86.93,SONY,88.02,2.3887,87.87,86.74,1.1442,2084,0,0.0
96.07,AMD,96.91,1.618,96.09,94.87,0.8339,456332,0,-0.21
29.77,INTC,31.89,7.6135,31.52,29.789,1.6683,130911,8,7.05
193.13,TSLA,195.28,2.479,193.88,189.44,0.674,889638,9,0.48
7.47,CVNA,7.9,6.9293,7.87,7.3616,0.2295,23365,1,-7.63
118.08,EA,119.325,0.9914,119.19,118.08,0.4098,20708,-1,0.0
