percentchange,open,low,relvolume,price,symbol,high,watchers,hourchange,sentiment
2.479,193.13,189.44,0.674,193.88,TSLA,195.28,889638,9,0.48
6.9293,7.47,7.3616,0.2295,7.87,CVNA,7.9,23365,1,-7.63
0.9914,118.08,118.08,0.4098,119.19,EA,119.325,20708,-1,0.0
1.9184,278.96,278.41,0.5914,280.51,MSFT,281.1398,442530,0,-1.71
1.9791,159.37,159.35,0.6109,160.77,AAPL,161.04,876718,11,-0.3
0.2861,130.12,129.18,0.4977,129.71,IBM,130.35,51343,-1,0.76
2.3271,203.56,202.54,0.5083,205.35,META,205.72,512243,1,0.12
3.0954,98.69,98.5801,0.6207,100.25,AMZN,100.4218,587352,2,1.22
0.5599,459.38,457.495,0.4154,461.57,NOC,462.58,8021,0,25.0
0.3563,102.28,100.655,0.6183,101.39,GOOGL,102.43,159836,0,4.31
2.8623,5.69,5.65,0.7071,5.75,SOFI,5.9199,91762,2,-1.08
0.2017,130.1,127.77,0.9598,129.14,JPM,130.22,82460,1,-0.93
-2.9126,5.14,4.83,0.765,5.0,AMC,5.2084,412480,-5,-0.59
2.1734,268.25,265.97,0.7093,269.84,NVDA,270.77,420470,0,-1.37
5.3896,196.75,191.385,0.7832,203.95,ENPH,205.77,37308,1,-0.62
1.618,96.07,94.87,0.8339,96.09,AMD,96.91,456332,0,-0.21
2.3887,86.93,86.74,1.1442,87.87,SONY,88.02,2084,0,0.0
7.6135,29.77,29.789,1.6683,31.52,INTC,31.89,130911,8,7.05
