percentchange,symbol,high,relvolume,low,open,price,watchers,hourchange,sentiment
2.479,TSLA,195.28,0.674,189.44,193.13,193.88,889638,9,0.48
6.9293,CVNA,7.9,0.2295,7.37,7.47,7.87,23365,1,-7.63
0.9914,EA,119.325,0.4098,118.08,118.08,119.19,20708,-1,0.0
1.9184,MSFT,281.1398,0.5914,278.41,278.96,280.51,442530,0,-1.71
1.9791,AAPL,161.04,0.6109,159.35,159.37,160.77,876718,11,-0.3
0.2861,IBM,130.348,0.4977,129.18,130.12,129.71,51343,-1,0.76
2.3271,META,205.72,0.5083,202.54,203.56,205.35,512243,1,0.12
3.0954,AMZN,100.4218,0.6207,98.5801,98.69,100.25,587352,2,1.22
0.3563,GOOGL,102.43,0.6183,100.655,102.28,101.39,159836,0,4.31
0.5599,NOC,462.58,0.4154,457.495,459.38,461.57,8021,0,25.0
0.2017,JPM,130.22,0.9598,127.77,130.1,129.14,82460,1,-0.93
2.8623,SOFI,5.9199,0.7071,5.65,5.69,5.75,91762,2,-1.08
2.1734,NVDA,270.77,0.7093,265.97,268.25,269.84,420470,0,-1.37
-2.9126,AMC,5.2084,0.765,4.83,5.14,5.0,412480,-5,-0.59
5.3896,ENPH,205.77,0.7832,191.385,196.75,203.95,37308,1,-0.62
1.618,AMD,96.91,0.8339,94.87,96.07,96.09,456332,0,-0.21
2.3887,SONY,88.0,1.1442,86.74,86.93,87.87,2084,0,0.0
7.6135,INTC,31.89,1.6683,29.789,29.77,31.52,130911,8,7.05
