percentchange,open,relvolume,symbol,high,low,price,watchers,hourchange,sentiment
3.0954,98.69,0.6207,AMZN,100.4218,98.5801,100.25,587352,2,1.22
2.3271,203.56,0.5083,META,205.72,202.54,205.35,512243,1,0.12
0.2017,130.1,0.9598,JPM,130.22,127.77,129.14,82460,1,-0.93
2.8623,5.69,0.7071,SOFI,5.9199,5.65,5.75,91762,2,-1.08
0.3563,102.28,0.6183,GOOGL,102.43,100.655,101.39,159836,0,4.31
-2.9126,5.14,0.765,AMC,5.2084,4.83,5.0,412480,-5,-0.59
5.3896,196.75,0.7832,ENPH,205.77,191.385,203.95,37308,1,-0.62
2.1734,268.25,0.7093,NVDA,270.77,265.97,269.84,420470,0,-1.37
2.3887,86.93,1.1442,SONY,88.02,86.74,87.87,2084,0,0.0
1.618,96.07,0.8339,AMD,96.91,94.87,96.09,456332,0,-0.21
7.6135,29.77,1.6683,INTC,31.89,29.789,31.52,130911,8,7.05
2.479,193.13,0.674,TSLA,195.28,189.44,193.88,889638,9,0.48
6.9293,7.47,0.2295,CVNA,7.9,7.37,7.87,23365,1,-7.63
0.9914,118.08,0.4098,EA,119.325,118.08,119.19,20708,-1,0.0
1.9184,278.96,0.5914,MSFT,281.1398,278.41,280.51,442530,0,-1.71
0.2861,130.12,0.4977,IBM,130.348,129.18,129.71,51343,-1,0.76
1.9791,159.37,0.6109,AAPL,161.04,159.35,160.77,876718,11,-0.3
0.5599,459.38,0.4154,NOC,462.58,457.495,461.57,8021,0,25.0
