high,percentchange,relvolume,price,low,symbol,open,watchers,hourchange,sentiment
462.865,0.1603,0.2533,462.31,458.615,NOC,460.46,8020,0,0.0
284.46,0.959,0.5212,283.2,281.5,MSFT,284.23,442588,4,2.32
274.99,1.399,0.5527,273.615,271.02,NVDA,272.29,420558,0,2.24
208.09,0.8278,0.5447,207.0499,202.85,META,203.38,512290,3,3.5
214.19,1.0966,0.5718,206.1866,203.96,ENPH,209.435,37319,0,-2.23
197.328,0.9284,0.529,195.68,194.42,TSLA,195.58,889734,0,4.23
162.47,0.8535,0.4788,162.1421,161.271,AAPL,161.53,876772,0,4.52
131.47,-0.2775,0.4014,129.35,129.15,IBM,130.16,51348,0,8.38
130.12,-0.5421,0.6372,128.4399,127.65,JPM,129.95,82475,-1,3.22
120.05,-0.1846,0.3728,118.97,118.85,EA,120.0,20710,0,5.56
103.04,1.5162,0.5785,101.77,101.01,AMZN,101.55,587427,7,6.76
100.96,-0.72,0.549,100.66,99.78,GOOGL,100.91,159879,0,3.16
99.53,1.8941,0.7504,97.91,97.25,AMD,98.0,456360,4,-4.65
89.53,1.6672,1.1685,89.335,88.64,SONY,88.7,2081,0,0.0
32.58,1.9032,1.1796,32.1199,31.81,INTC,31.85,131059,5,12.24
9.0,9.4257,0.5013,8.6118,8.079,CVNA,8.08,23365,0,-6.96
5.93,-0.7826,0.5244,5.705,5.62,SOFI,5.87,91777,0,-0.06
5.16,-2.414,0.4716,4.8793,4.87,AMC,5.11,412494,0,1.11
