open,price,relvolume,high,symbol,low,percentchange,watchers,hourchange,sentiment
460.46,461.055,0.276,462.865,NOC,458.615,-0.1116,8020,0,0.0
284.23,283.17,0.5448,284.46,MSFT,281.5,0.9483,442588,4,2.32
272.29,273.32,0.5737,274.99,NVDA,271.02,1.2897,420558,0,2.24
203.38,207.0,0.5608,208.09,META,202.85,0.8035,512290,3,3.5
209.435,206.08,0.5847,214.19,ENPH,203.96,1.0444,37319,0,-2.23
195.58,195.32,0.5503,197.328,TSLA,194.42,0.7427,889734,0,4.23
161.53,161.985,0.498,162.47,AAPL,161.271,0.7557,876772,0,4.52
130.16,129.17,0.4254,131.47,IBM,129.12,-0.4163,51348,0,8.38
129.95,128.255,0.6667,130.12,JPM,127.65,-0.6853,82475,-1,3.22
120.0,119.01,0.3959,120.05,EA,118.85,-0.151,20710,0,5.56
101.55,101.78,0.5955,103.04,AMZN,101.01,1.5262,587427,7,6.76
100.91,100.68,0.5664,100.96,GOOGL,99.78,-0.7003,159879,0,3.16
98.0,97.8299,0.7758,99.53,AMD,97.25,1.8107,456360,4,-4.65
88.7,89.3,1.2023,89.53,SONY,88.64,1.6274,2081,0,0.0
31.85,32.16,1.2201,32.58,INTC,31.81,2.0305,131059,5,12.24
8.08,8.565,0.5083,9.0,CVNA,8.079,8.831,23365,0,-6.96
5.87,5.695,0.538,5.93,SOFI,5.62,-0.9565,91777,0,-0.06
5.11,4.885,0.4877,5.16,AMC,4.87,-2.3,412494,0,1.11
