high,relvolume,percentchange,open,low,symbol,price,watchers,hourchange,sentiment
462.865,0.3139,-0.0703,460.46,458.615,NOC,461.2454,8023,3,0.0
284.46,0.5805,1.1408,284.23,281.5,MSFT,283.71,442593,5,2.31
274.99,0.6157,1.6899,272.29,271.02,NVDA,274.4,420565,7,2.55
208.09,0.5974,1.1833,203.38,202.85,META,207.78,512294,4,6.27
214.19,0.6117,1.1032,209.435,203.96,ENPH,206.2,37319,0,-2.23
197.328,0.5813,1.0574,195.58,194.42,TSLA,195.93,889738,4,5.7
162.47,0.5309,0.8895,161.53,161.271,AAPL,162.2,876775,3,4.67
131.47,0.4681,-0.3122,130.16,129.1,IBM,129.305,51348,0,8.71
130.12,0.7139,-0.4027,129.95,127.65,JPM,128.62,82475,0,3.37
120.05,0.4279,-0.0755,120.0,118.85,EA,119.1,20710,0,5.56
103.04,0.6292,1.7741,101.55,101.01,AMZN,102.0285,587434,7,5.86
101.15,0.6057,-0.2602,100.91,99.78,GOOGL,101.1262,159881,2,3.16
99.53,0.8217,2.1438,98.0,97.25,AMD,98.15,456364,4,-4.31
89.53,1.3206,1.6729,88.7,88.64,SONY,89.34,2081,0,0.0
32.58,1.2824,1.848,31.85,31.81,INTC,32.1025,131055,-4,11.31
9.0,0.54,12.0076,8.08,8.079,CVNA,8.815,23366,1,-6.96
5.93,0.5794,-0.1739,5.87,5.62,SOFI,5.74,91775,-2,-0.21
5.16,0.5079,-1.474,5.11,4.87,AMC,4.9263,412490,-4,1.11
