open,price,high,symbol,percentchange,low,relvolume,watchers,hourchange,sentiment
31.85,32.09,32.58,INTC,1.8084,31.81,1.4198,131054,4,5.34
5.87,5.72,5.93,SOFI,-0.5217,5.62,0.6344,91769,0,-1.27
98.0,97.88,99.53,AMD,1.8628,97.25,0.8812,456363,-2,-2.75
101.55,102.0,103.04,AMZN,1.7456,101.01,0.6777,587425,-9,3.52
460.46,460.98,462.92,NOC,-0.1278,458.5,0.3938,8023,0,0.0
130.16,129.22,131.48,IBM,-0.3778,129.1,0.5487,51343,-2,8.71
195.58,195.28,197.328,TSLA,0.7221,194.42,0.6092,889744,-1,4.67
120.0,119.1,120.05,EA,-0.0755,118.85,0.5217,20710,0,5.56
8.08,8.83,9.0,CVNA,12.1982,8.0748,0.5721,23366,-1,-5.66
88.7,89.31,89.53,SONY,1.6388,88.555,1.4544,2082,0,0.0
272.29,273.83,274.99,NVDA,1.4787,271.02,0.6652,420571,2,2.95
284.23,284.05,284.46,MSFT,1.262,281.5,0.6427,442599,3,0.17
5.11,4.97,5.16,AMC,-0.6,4.865,0.5325,412474,-2,0.68
161.53,162.36,162.47,AAPL,0.989,161.271,0.5827,876767,-15,3.84
203.38,207.84,208.09,META,1.2126,202.85,0.6432,512298,-4,6.71
209.435,205.27,214.19,ENPH,0.6472,203.96,0.6629,37320,-1,-2.09
129.95,128.75,130.12,JPM,-0.302,127.65,0.7826,82474,-3,1.4
100.91,100.89,101.155,GOOGL,-0.4931,99.78,0.6807,159888,7,3.5
