low,high,open,price,symbol,percentchange,relvolume,watchers,hourchange,sentiment
31.81,32.58,31.85,32.09,INTC,1.8084,1.4198,131054,4,5.34
5.62,5.93,5.87,5.72,SOFI,-0.5217,0.6344,91769,0,-1.27
97.25,99.53,98.0,97.88,AMD,1.8628,0.8812,456363,-2,-2.75
101.01,103.04,101.55,102.0,AMZN,1.7456,0.6777,587425,-9,3.52
458.5,462.92,460.46,460.98,NOC,-0.1278,0.3938,8023,0,0.0
129.1,131.48,130.16,129.22,IBM,-0.3778,0.5487,51343,-2,8.71
194.42,197.328,195.58,195.28,TSLA,0.7221,0.6092,889744,-1,4.67
8.0748,9.0,8.08,8.83,CVNA,12.1982,0.5721,23366,-1,-5.66
118.85,120.05,120.0,119.1,EA,-0.0755,0.5217,20710,0,5.56
88.555,89.53,88.7,89.31,SONY,1.6388,1.4544,2082,0,0.0
271.02,274.99,272.29,273.83,NVDA,1.4787,0.6652,420571,2,2.95
281.5,284.46,284.23,284.05,MSFT,1.262,0.6427,442599,3,0.17
4.865,5.16,5.11,4.97,AMC,-0.6,0.5325,412474,-2,0.68
161.271,162.47,161.53,162.36,AAPL,0.989,0.5827,876767,-15,3.84
202.85,208.09,203.38,207.84,META,1.2126,0.6432,512298,-4,6.71
203.96,214.19,209.435,205.27,ENPH,0.6472,0.6629,37320,-1,-2.09
127.65,130.12,129.95,128.75,JPM,-0.302,0.7826,82474,-3,1.4
99.78,101.155,100.91,100.89,GOOGL,-0.4931,0.6807,159888,7,3.5
