low,percentchange,symbol,relvolume,price,high,open,watchers,hourchange,sentiment
5.62,-0.5217,SOFI,0.6344,5.72,5.93,5.87,91769,0,-1.14
31.81,1.8084,INTC,1.4198,32.09,32.58,31.85,131054,0,4.5
97.25,1.8628,AMD,0.8812,97.88,99.53,98.0,456364,1,-3.07
101.01,1.7456,AMZN,0.6777,102.0,103.04,101.55,587425,0,3.58
458.5,-0.1278,NOC,0.3938,460.98,462.92,460.46,8023,0,0.0
129.1,-0.3778,IBM,0.5487,129.22,131.48,130.16,51343,0,8.38
194.42,0.7221,TSLA,0.6092,195.28,197.328,195.58,889751,7,4.19
118.85,-0.0755,EA,0.5217,119.1,120.05,120.0,20710,0,5.56
88.555,1.6388,SONY,1.4544,89.31,89.53,88.7,2082,0,0.0
8.0748,12.1982,CVNA,0.5721,8.83,9.0,8.08,23362,-4,-5.02
271.02,1.4787,NVDA,0.6652,273.83,274.99,272.29,420570,-1,2.26
4.865,-0.6,AMC,0.5325,4.97,5.16,5.11,412470,-4,0.78
161.271,0.989,AAPL,0.5827,162.36,162.47,161.53,876771,4,3.65
281.5,1.262,MSFT,0.6427,284.05,284.46,284.23,442600,1,-0.15
202.85,1.2126,META,0.6432,207.84,208.09,203.38,512301,3,6.06
127.65,-0.302,JPM,0.7826,128.75,130.12,129.95,82474,0,1.08
203.96,0.6472,ENPH,0.6629,205.27,214.19,209.435,37321,1,-2.13
99.78,-0.4931,GOOGL,0.6807,100.89,101.155,100.91,159890,2,2.97
