price,open,percentchange,relvolume,symbol,high,low,watchers,hourchange,sentiment
4.97,5.11,-0.6,0.5325,AMC,5.16,4.865,412471,1,0.75
162.36,161.53,0.989,0.5827,AAPL,162.47,161.271,876773,2,4.34
284.05,284.23,1.262,0.6427,MSFT,284.46,281.5,442605,5,-0.15
207.84,203.38,1.2126,0.6432,META,208.09,202.85,512306,5,6.08
205.27,209.435,0.6472,0.6629,ENPH,214.19,203.96,37320,-1,-2.39
128.75,129.95,-0.302,0.7826,JPM,130.12,127.65,82477,3,1.21
100.89,100.91,-0.4931,0.6807,GOOGL,101.155,99.78,159894,4,2.76
5.72,5.87,-0.5217,0.6344,SOFI,5.93,5.62,91770,1,-1.7
32.09,31.85,1.8084,1.4198,INTC,32.58,31.81,131059,5,4.5
102.0,101.55,1.7456,0.6777,AMZN,103.04,101.01,587428,3,3.47
97.88,98.0,1.8628,0.8812,AMD,99.53,97.25,456364,0,-2.74
460.98,460.46,-0.1278,0.3938,NOC,462.92,458.5,8023,0,0.0
129.22,130.16,-0.3778,0.5487,IBM,131.48,129.1,51343,0,8.38
119.1,120.0,-0.0755,0.5217,EA,120.05,118.85,20710,0,5.56
8.83,8.08,12.1982,0.5721,CVNA,9.0,8.0748,23362,0,-4.62
195.28,195.58,0.7221,0.6092,TSLA,197.328,194.42,889755,4,4.2
273.83,272.29,1.4787,0.6652,NVDA,274.99,271.02,420573,3,2.26
89.31,88.7,1.6388,1.4544,SONY,89.53,88.555,2082,0,0.0
