low,price,open,symbol,relvolume,percentchange,high,watchers,hourchange,sentiment
4.865,4.97,5.11,AMC,0.5325,-0.6,5.16,412468,-3,0.69
161.271,162.36,161.53,AAPL,0.5827,0.989,162.47,876774,1,4.72
281.5,284.05,284.23,MSFT,0.6427,1.262,284.46,442606,1,-0.14
202.85,207.84,203.38,META,0.6432,1.2126,208.09,512303,-3,5.8
203.96,205.27,209.435,ENPH,0.6629,0.6472,214.19,37321,1,-2.39
127.65,128.75,129.95,JPM,0.7826,-0.302,130.12,82477,0,1.48
99.78,100.89,100.91,GOOGL,0.6807,-0.4931,101.155,159894,0,2.76
5.62,5.72,5.87,SOFI,0.6344,-0.5217,5.93,91771,1,-1.7
31.81,32.09,31.85,INTC,1.4198,1.8084,32.58,131059,0,3.85
101.01,102.0,101.55,AMZN,0.6777,1.7456,103.04,587428,0,2.88
97.25,97.88,98.0,AMD,0.8812,1.8628,99.53,456364,0,-2.46
458.5,460.98,460.46,NOC,0.3938,-0.1278,462.92,8023,0,0.0
129.1,129.22,130.16,IBM,0.5487,-0.3778,131.48,51343,0,6.76
118.85,119.1,120.0,EA,0.5217,-0.0755,120.05,20710,0,5.56
8.0748,8.83,8.08,CVNA,0.5721,12.1982,9.0,23362,0,-4.44
194.42,195.28,195.58,TSLA,0.6092,0.7221,197.328,889764,9,4.2
271.02,273.83,272.29,NVDA,0.6652,1.4787,274.99,420573,0,2.08
88.555,89.31,88.7,SONY,1.4544,1.6388,89.53,2082,0,0.0
