percentchange,high,low,symbol,price,relvolume,open,watchers,hourchange,sentiment
0.0477,463.4,460.33,NOC,461.2,0.1814,462.98,8026,2,0.0
0.8731,286.85,283.03,MSFT,286.53,0.4646,283.73,442642,5,2.59
1.2672,278.34,271.05,NVDA,277.3,0.5563,271.4,420608,5,4.0
0.9448,210.54,206.77,META,209.8037,0.467,207.24,512330,3,7.88
1.4761,212.12,205.81,ENPH,208.3,0.39,206.02,37334,2,-1.08
5.3103,206.33,197.23,TSLA,205.65,0.6842,197.53,889826,16,7.32
0.9824,164.07,162.13,AAPL,163.955,0.4141,162.44,876815,5,5.23
0.8203,130.535,129.42,IBM,130.28,0.27,129.47,51346,0,-0.19
0.7068,130.01,128.8514,JPM,129.66,0.4423,129.66,82487,0,0.03
0.5458,119.86,118.985,EA,119.75,0.4183,119.38,20709,0,-12.5
0.951,103.29,101.95,AMZN,102.97,0.4213,102.16,587468,2,2.11
1.8287,103.25,101.05,GOOGL,102.735,0.4164,101.3,159923,-1,5.22
-0.4189,97.975,95.27,AMD,97.47,0.622,96.34,456392,2,1.28
1.3772,90.88,89.79,SONY,90.54,1.0241,89.77,2082,0,0.0
2.1502,32.8998,31.74,INTC,32.78,0.6919,31.8,131086,0,-0.68
4.9932,9.48,8.77,CVNA,9.2709,0.3386,8.9,23358,1,2.78
6.5559,6.17,5.67,SOFI,6.095,0.8371,5.75,91780,-4,0.82
-0.9054,5.055,4.87,AMC,4.925,0.2787,4.91,412470,2,-0.16
