price,open,percentchange,low,symbol,high,relvolume,watchers,hourchange,sentiment
460.31,462.98,-0.1453,460.31,NOC,463.4,0.1991,8026,0,0.0
286.69,283.73,0.9294,283.03,MSFT,287.1769,0.4876,442653,11,3.21
276.9307,271.4,1.1323,271.05,NVDA,278.34,0.5817,420625,17,5.53
209.75,207.24,0.919,206.77,META,210.54,0.4827,512341,11,6.72
209.2,206.02,1.9146,205.81,ENPH,212.12,0.4059,37334,0,-0.22
206.8,197.53,5.8992,197.23,TSLA,207.18,0.7325,889848,22,8.42
163.9897,162.44,1.0038,162.13,AAPL,164.175,0.4359,876824,9,5.37
130.47,129.47,0.9673,129.42,IBM,130.535,0.2896,51346,0,-0.09
129.645,129.66,0.6951,128.8514,JPM,130.01,0.4649,82488,1,-0.83
119.86,119.38,0.6381,118.985,EA,119.9,0.4347,20709,0,-12.5
102.88,102.16,0.8627,101.95,AMZN,103.29,0.4421,587477,9,2.16
102.7014,101.3,1.7954,101.05,GOOGL,103.25,0.4337,159928,5,4.67
97.585,96.34,-0.3014,95.27,AMD,97.975,0.6437,456396,4,3.59
90.44,89.77,1.2653,89.79,SONY,90.88,1.0644,2083,1,0.0
32.73,31.8,1.9944,31.74,INTC,32.8998,0.7376,131091,5,-0.02
9.3725,8.9,6.1438,8.77,CVNA,9.48,0.3536,23358,0,3.0
6.045,5.75,5.6818,5.67,SOFI,6.17,0.8725,91781,1,0.98
4.94,4.91,-0.6036,4.87,AMC,5.055,0.2896,412473,3,-0.05
