symbol,price,percentchange,open,low,high,relvolume,watchers,hourchange,sentiment
NOC,461.065,0.0184,462.98,459.45,463.4,0.2663,8026,0,0.0
MSFT,288.14,1.4399,283.73,283.03,288.22,0.5669,442654,1,2.66
NVDA,276.4714,0.9646,271.4,271.05,278.34,0.6698,420627,2,5.8
META,210.66,1.3568,207.24,206.77,210.76,0.5392,512341,0,5.44
ENPH,209.08,1.8561,206.02,205.81,212.12,0.4438,37332,-2,-0.32
TSLA,207.04,6.0221,197.53,197.23,207.79,0.8363,889859,11,8.6
AAPL,164.73,1.4597,162.44,162.13,164.765,0.5293,876831,7,5.26
IBM,130.795,1.2189,129.47,129.42,130.81,0.3646,51346,0,0.0
JPM,129.8525,0.8563,129.66,128.8514,130.01,0.5597,82487,-1,-2.57
EA,120.16,0.89,119.38,118.985,120.24,0.529,20709,0,-7.14
GOOGL,103.21,2.2995,101.3,101.05,103.285,0.499,159928,0,5.16
AMZN,103.1823,1.1591,102.16,101.95,103.29,0.5068,587477,0,2.26
AMD,98.07,0.1941,96.34,95.27,98.07,0.7198,456390,-6,4.33
SONY,90.84,1.7131,89.77,89.79,90.88,1.2032,2083,0,0.0
INTC,32.765,2.1035,31.8,31.74,32.8998,0.8374,131092,1,-0.19
CVNA,9.495,7.5311,8.9,8.77,9.51,0.3898,23361,3,2.58
SOFI,6.03,5.4196,5.75,5.67,6.17,0.9386,91781,0,0.95
AMC,4.9615,-0.171,4.91,4.87,5.055,0.3824,412473,0,-0.08
