price,relvolume,low,high,symbol,percentchange,open,watchers,hourchange,sentiment
103.73,0.6778,101.05,103.89,GOOGL,2.8149,101.3,159926,-2,4.08
103.29,0.6381,101.95,103.42,AMZN,1.2647,102.16,587480,3,2.05
90.65,1.4706,89.79,90.92,SONY,1.5004,89.77,2084,1,0.0
131.09,0.5809,129.42,131.22,IBM,1.4471,129.47,51346,0,2.13
277.77,0.7758,271.05,278.34,NVDA,1.4388,271.4,420630,3,4.13
210.28,0.544,205.81,212.12,ENPH,2.4407,206.02,37334,2,-1.0
6.07,1.0566,5.67,6.17,SOFI,6.1189,5.75,91784,3,0.85
461.72,0.4159,459.45,463.4,NOC,0.1605,462.98,8026,0,0.0
211.94,0.653,206.77,212.17,META,1.9727,207.24,512329,-12,4.29
5.01,0.4763,4.87,5.055,AMC,0.8048,4.91,412477,4,-0.06
32.67,1.0575,31.74,32.8998,INTC,1.8074,31.8,131096,4,0.0
98.01,0.8317,95.27,98.36,AMD,0.1328,96.34,456390,0,3.74
9.79,0.475,8.77,9.79,CVNA,10.872,8.9,23376,15,2.91
207.46,0.9318,197.23,207.79,TSLA,6.2372,197.53,889867,8,7.79
164.9,0.7363,162.13,165.0,AAPL,1.5644,162.44,876833,2,4.63
120.45,0.6957,118.985,120.53,EA,1.1335,119.38,20709,0,-7.14
288.3,0.7248,283.03,288.81,MSFT,1.4962,283.73,442657,3,2.56
130.31,0.7219,128.8514,130.34,JPM,1.2117,129.66,82484,-3,-2.86
