price,percentchange,low,high,symbol,open,relvolume,watchers,hourchange,sentiment
6.07,6.1189,5.67,6.17,SOFI,5.75,1.0566,91783,-1,0.97
5.01,0.8048,4.87,5.055,AMC,4.91,0.4763,412473,-4,0.1
211.94,1.9727,206.77,212.17,META,207.24,0.653,512329,0,3.58
461.72,0.1605,459.45,463.32,NOC,462.98,0.4159,8027,1,0.0
32.67,1.8074,31.74,32.8998,INTC,31.8,1.0575,131094,-2,0.0
98.01,0.1328,95.27,98.36,AMD,96.34,0.8317,456390,0,4.01
207.46,6.2372,197.23,207.79,TSLA,197.53,0.9318,889873,6,7.81
9.79,10.872,8.77,9.79,CVNA,8.9,0.475,23373,-3,7.44
164.9,1.5644,162.13,165.0,AAPL,162.44,0.7363,876843,10,4.88
120.45,1.1335,118.985,120.53,EA,119.38,0.6957,20709,0,-7.14
288.3,1.4962,283.03,288.81,MSFT,283.73,0.7248,442661,4,2.56
130.31,1.2117,128.8514,130.34,JPM,129.66,0.7219,82483,-1,-2.19
103.73,2.8149,101.05,103.89,GOOGL,101.3,0.6778,159928,2,3.22
103.29,1.2647,101.95,103.42,AMZN,102.16,0.6381,587485,5,2.35
90.65,1.5004,89.75,90.92,SONY,89.77,1.4706,2084,0,0.0
277.77,1.4388,271.05,278.34,NVDA,271.4,0.7758,420635,5,4.13
210.28,2.4407,205.81,212.12,ENPH,206.02,0.544,37336,2,-1.0
131.09,1.4471,129.42,131.23,IBM,129.47,0.5809,51346,0,2.04
