percentchange,open,high,price,relvolume,low,symbol,watchers,hourchange,sentiment
6.2372,197.53,207.79,207.46,0.9318,197.23,TSLA,889876,3,8.02
10.872,8.9,9.79,9.79,0.475,8.77,CVNA,23370,-3,7.44
1.5644,162.44,165.0,164.9,0.7363,162.13,AAPL,876844,1,5.1
1.1335,119.38,120.53,120.45,0.6957,118.985,EA,20709,0,0.0
1.4962,283.73,288.81,288.3,0.7248,283.03,MSFT,442663,2,2.55
1.2117,129.66,130.34,130.31,0.7219,128.8514,JPM,82481,-2,-2.16
2.8149,101.3,103.89,103.73,0.6778,101.05,GOOGL,159926,-2,3.16
1.2647,102.16,103.42,103.29,0.6381,101.95,AMZN,587486,1,2.6
1.5004,89.77,90.92,90.65,1.4706,89.75,SONY,2084,0,0.0
1.4388,271.4,278.34,277.77,0.7758,271.05,NVDA,420633,-2,4.33
2.4407,206.02,212.12,210.28,0.544,205.81,ENPH,37336,0,-0.74
1.4471,129.47,131.23,131.09,0.5809,129.42,IBM,51346,0,2.13
6.1189,5.75,6.17,6.07,1.0566,5.67,SOFI,91783,0,1.46
0.1605,462.98,463.32,461.72,0.4159,459.45,NOC,8028,1,0.0
1.9727,207.24,212.17,211.94,0.653,206.77,META,512333,4,3.85
0.8048,4.91,5.055,5.01,0.4763,4.87,AMC,412471,-2,0.16
1.8074,31.8,32.8998,32.67,1.0575,31.74,INTC,131091,-3,-0.12
0.1328,96.34,98.36,98.01,0.8317,95.27,AMD,456390,0,4.05
