relvolume,symbol,open,high,price,low,percentchange,watchers,hourchange,sentiment
1.4706,SONY,89.77,90.92,90.65,89.75,1.5004,2084,0,0.0
0.6381,AMZN,102.16,103.42,103.29,101.95,1.2647,587486,1,2.6
0.7758,NVDA,271.4,278.34,277.77,271.05,1.4388,420633,-2,4.33
0.544,ENPH,206.02,212.12,210.28,205.81,2.4407,37336,0,-0.74
0.4159,NOC,462.98,463.32,461.72,459.45,0.1605,8028,1,0.0
0.5809,IBM,129.47,131.23,131.09,129.42,1.4471,51346,0,2.13
1.0566,SOFI,5.75,6.17,6.07,5.67,6.1189,91783,0,1.46
0.4763,AMC,4.91,5.055,5.01,4.87,0.8048,412471,-2,0.16
0.653,META,207.24,212.17,211.94,206.77,1.9727,512333,4,3.85
1.0575,INTC,31.8,32.8998,32.67,31.74,1.8074,131091,-3,-0.12
0.8317,AMD,96.34,98.36,98.01,95.27,0.1328,456390,0,4.05
0.475,CVNA,8.9,9.79,9.79,8.77,10.872,23370,-3,7.44
0.9318,TSLA,197.53,207.79,207.46,197.23,6.2372,889876,3,8.02
0.7363,AAPL,162.44,165.0,164.9,162.13,1.5644,876844,1,5.1
0.6957,EA,119.38,120.53,120.45,118.985,1.1335,20709,0,0.0
0.7248,MSFT,283.73,288.81,288.3,283.03,1.4962,442663,2,2.55
0.7219,JPM,129.66,130.34,130.31,128.8514,1.2117,82481,-2,-2.16
0.6778,GOOGL,101.3,103.89,103.73,101.05,2.8149,159926,-2,3.16
