low,high,open,price,symbol,relvolume,percentchange,watchers,hourchange,sentiment
31.74,32.8998,31.8,32.67,INTC,1.0575,1.8074,131091,-3,-0.12
95.27,98.36,96.34,98.01,AMD,0.8317,0.1328,456390,0,4.05
197.23,207.79,197.53,207.46,TSLA,0.9318,6.2372,889876,3,8.02
8.77,9.79,8.9,9.79,CVNA,0.475,10.872,23370,-3,7.44
162.13,165.0,162.44,164.9,AAPL,0.7363,1.5644,876844,1,5.1
283.03,288.81,283.73,288.3,MSFT,0.7248,1.4962,442663,2,2.55
118.985,120.53,119.38,120.45,EA,0.6957,1.1335,20709,0,0.0
128.8514,130.34,129.66,130.31,JPM,0.7219,1.2117,82481,-2,-2.16
101.05,103.89,101.3,103.73,GOOGL,0.6778,2.8149,159926,-2,3.16
101.95,103.42,102.16,103.29,AMZN,0.6381,1.2647,587486,1,2.6
89.75,90.92,89.77,90.65,SONY,1.4706,1.5004,2084,0,0.0
271.05,278.34,271.4,277.77,NVDA,0.7758,1.4388,420633,-2,4.33
205.81,212.12,206.02,210.28,ENPH,0.544,2.4407,37336,0,-0.74
459.45,463.32,462.98,461.72,NOC,0.4159,0.1605,8028,1,0.0
129.42,131.23,129.47,131.09,IBM,0.5809,1.4471,51346,0,2.13
4.87,5.055,4.91,5.01,AMC,0.4763,0.8048,412471,-2,0.16
5.67,6.17,5.75,6.07,SOFI,1.0566,6.1189,91783,0,1.46
206.77,212.17,207.24,211.94,META,0.653,1.9727,512333,4,3.85
