low,relvolume,percentchange,symbol,price,high,open,watchers,hourchange,sentiment
128.8514,0.7219,1.2117,JPM,130.31,130.34,129.66,82481,0,-2.02
101.05,0.6778,2.8149,GOOGL,103.73,103.89,101.3,159926,0,2.56
101.95,0.6381,1.2647,AMZN,103.29,103.42,102.16,587492,6,2.98
89.75,1.4706,1.5004,SONY,90.65,90.92,89.77,2084,0,0.0
271.05,0.7758,1.4388,NVDA,277.77,278.34,271.4,420626,-7,4.4
205.81,0.544,2.4407,ENPH,210.28,212.12,206.02,37336,0,0.75
129.42,0.5809,1.4471,IBM,131.09,131.23,129.47,51344,-2,2.22
459.45,0.4159,0.1605,NOC,461.72,463.32,462.98,8029,1,0.0
5.67,1.0566,6.1189,SOFI,6.07,6.17,5.75,91782,-1,1.46
4.87,0.4763,0.8048,AMC,5.01,5.055,4.91,412469,-2,0.14
206.77,0.653,1.9727,META,211.94,212.17,207.24,512333,0,4.36
31.74,1.0575,1.8074,INTC,32.67,32.8998,31.8,131089,-2,0.68
95.27,0.8317,0.1328,AMD,98.01,98.36,96.34,456389,-1,4.13
162.13,0.7363,1.5644,AAPL,164.9,165.0,162.44,876839,-5,5.02
197.23,0.9318,6.2372,TSLA,207.46,207.79,197.53,889876,0,8.1
8.77,0.475,10.872,CVNA,9.79,9.79,8.9,23370,0,6.67
118.985,0.6957,1.1335,EA,120.45,120.53,119.38,20709,0,0.0
283.03,0.7248,1.4962,MSFT,288.3,288.81,283.73,442662,-1,2.47
