percentchange,open,price,high,symbol,low,relvolume,watchers,hourchange,sentiment
1.4471,129.47,131.09,131.23,IBM,129.42,0.5809,51344,-2,2.22
0.1605,462.98,461.72,463.32,NOC,459.45,0.4159,8029,1,0.0
0.8048,4.91,5.01,5.055,AMC,4.87,0.4763,412469,-2,0.14
6.1189,5.75,6.07,6.17,SOFI,5.67,1.0566,91782,-1,1.46
1.9727,207.24,211.94,212.17,META,206.77,0.653,512333,0,4.36
1.8074,31.8,32.67,32.8998,INTC,31.74,1.0575,131089,-2,0.68
0.1328,96.34,98.01,98.36,AMD,95.27,0.8317,456389,-1,4.13
1.5644,162.44,164.9,165.0,AAPL,162.13,0.7363,876839,-5,5.02
6.2372,197.53,207.46,207.79,TSLA,197.23,0.9318,889876,0,8.1
10.872,8.9,9.79,9.79,CVNA,8.77,0.475,23370,0,6.67
1.4962,283.73,288.3,288.81,MSFT,283.03,0.7248,442662,-1,2.47
1.1335,119.38,120.45,120.53,EA,118.985,0.6957,20709,0,0.0
1.2117,129.66,130.31,130.34,JPM,128.8514,0.7219,82481,0,-2.02
2.8149,101.3,103.73,103.89,GOOGL,101.05,0.6778,159926,0,2.56
1.2647,102.16,103.29,103.42,AMZN,101.95,0.6381,587492,6,2.98
1.5004,89.77,90.65,90.92,SONY,89.75,1.4706,2084,0,0.0
1.4388,271.4,277.77,278.34,NVDA,271.05,0.7758,420626,-7,4.4
2.4407,206.02,210.28,212.12,ENPH,205.81,0.544,37336,0,0.75
