open,relvolume,price,high,symbol,percentchange,low,watchers,hourchange,sentiment
89.77,1.4706,90.65,90.92,SONY,1.5004,89.75,2084,0,0.0
271.4,0.7758,277.77,278.34,NVDA,1.4388,271.05,420627,1,4.48
206.02,0.544,210.28,212.12,ENPH,2.4407,205.81,37335,-1,0.71
129.47,0.5809,131.09,131.23,IBM,1.4471,129.42,51344,0,2.22
462.98,0.4159,461.72,463.32,NOC,0.1605,459.45,8029,0,0.0
4.91,0.4763,5.01,5.055,AMC,0.8048,4.87,412472,3,0.11
5.75,1.0566,6.07,6.17,SOFI,6.1189,5.67,91781,-1,1.89
207.24,0.653,211.94,212.17,META,1.9727,206.77,512333,0,4.06
31.8,1.0575,32.67,32.8998,INTC,1.8074,31.74,131091,2,0.48
96.34,0.8317,98.01,98.36,AMD,0.1328,95.27,456388,-1,3.83
162.44,0.7363,164.9,165.0,AAPL,1.5644,162.13,876839,0,4.95
197.53,0.9318,207.46,207.79,TSLA,6.2372,197.23,889882,6,8.14
8.9,0.475,9.79,9.79,CVNA,10.872,8.77,23371,1,6.73
283.73,0.7248,288.3,288.81,MSFT,1.4962,283.03,442662,0,2.36
119.38,0.6957,120.45,120.53,EA,1.1335,118.985,20709,0,0.0
129.66,0.7219,130.31,130.34,JPM,1.2117,128.8514,82481,0,-2.7
101.3,0.6778,103.73,103.89,GOOGL,2.8149,101.05,159925,-1,2.66
102.16,0.6381,103.29,103.42,AMZN,1.2647,101.95,587497,5,3.18
