price,percentchange,low,open,symbol,high,relvolume,watchers,hourchange,sentiment
90.65,1.5004,89.75,89.77,SONY,90.92,1.4706,2084,0,0.0
277.77,1.4388,271.05,271.4,NVDA,278.34,0.7758,420627,1,4.48
210.28,2.4407,205.81,206.02,ENPH,212.12,0.544,37335,-1,0.71
131.09,1.4471,129.42,129.47,IBM,131.23,0.5809,51344,0,2.22
461.72,0.1605,459.45,462.98,NOC,463.32,0.4159,8029,0,0.0
5.01,0.8048,4.87,4.91,AMC,5.055,0.4763,412472,3,0.11
6.07,6.1189,5.67,5.75,SOFI,6.17,1.0566,91781,-1,1.89
211.94,1.9727,206.77,207.24,META,212.17,0.653,512333,0,4.06
32.67,1.8074,31.74,31.8,INTC,32.8998,1.0575,131091,2,0.48
98.01,0.1328,95.27,96.34,AMD,98.36,0.8317,456388,-1,3.83
164.9,1.5644,162.13,162.44,AAPL,165.0,0.7363,876839,0,4.95
207.46,6.2372,197.23,197.53,TSLA,207.79,0.9318,889882,6,8.14
9.79,10.872,8.77,8.9,CVNA,9.79,0.475,23371,1,6.73
288.3,1.4962,283.03,283.73,MSFT,288.81,0.7248,442662,0,2.36
120.45,1.1335,118.985,119.38,EA,120.53,0.6957,20709,0,0.0
130.31,1.2117,128.8514,129.66,JPM,130.34,0.7219,82481,0,-2.7
103.73,2.8149,101.05,101.3,GOOGL,103.89,0.6778,159925,-1,2.66
103.29,1.2647,101.95,102.16,AMZN,103.42,0.6381,587497,5,3.18
