low,percentchange,high,price,relvolume,symbol,open,watchers,hourchange,sentiment
89.75,1.5004,90.92,90.65,1.4706,SONY,89.77,2084,0,0.0
271.05,1.4388,278.34,277.77,0.7758,NVDA,271.4,420629,2,4.42
205.81,2.4407,212.12,210.28,0.544,ENPH,206.02,37334,-1,0.66
129.42,1.4471,131.23,131.09,0.5809,IBM,129.47,51344,0,2.22
459.45,0.1605,463.32,461.72,0.4159,NOC,462.98,8029,0,0.0
4.87,0.8048,5.055,5.01,0.4763,AMC,4.91,412474,2,0.13
5.67,6.1189,6.17,6.07,1.0566,SOFI,5.75,91786,5,1.92
206.77,1.9727,212.17,211.94,0.653,META,207.24,512334,1,4.07
31.74,1.8074,32.8998,32.67,1.0575,INTC,31.8,131091,0,0.77
95.27,0.1328,98.36,98.01,0.8317,AMD,96.34,456389,1,3.61
162.13,1.5644,165.0,164.9,0.7363,AAPL,162.44,876840,1,4.9
197.23,6.2372,207.79,207.46,0.9318,TSLA,197.53,889885,3,8.25
8.77,10.872,9.79,9.79,0.475,CVNA,8.9,23371,0,6.68
283.03,1.4962,288.81,288.3,0.7248,MSFT,283.73,442664,2,2.16
118.985,1.1335,120.53,120.45,0.6957,EA,119.38,20709,0,0.0
128.8514,1.2117,130.34,130.31,0.7219,JPM,129.66,82481,0,-2.92
101.05,2.8149,103.89,103.73,0.6778,GOOGL,101.3,159929,4,2.16
101.95,1.2647,103.42,103.29,0.6381,AMZN,102.16,587497,0,3.51
