relvolume,price,percentchange,open,high,low,symbol,watchers,hourchange,sentiment
1.4706,90.65,1.5004,89.77,90.92,89.75,SONY,2084,0,0.0
0.7758,277.77,1.4388,271.4,278.34,271.05,NVDA,420632,3,4.22
0.544,210.28,2.4407,206.02,212.12,205.81,ENPH,37334,0,0.66
0.5809,131.09,1.4471,129.47,131.23,129.42,IBM,51344,0,2.13
0.4159,461.72,0.1605,462.98,463.32,459.45,NOC,8029,0,0.0
0.4763,5.01,0.8048,4.91,5.055,4.87,AMC,412477,3,0.08
1.0566,6.07,6.1189,5.75,6.17,5.67,SOFI,91790,4,1.84
0.653,211.94,1.9727,207.24,212.17,206.77,META,512339,5,4.32
1.0575,32.67,1.8074,31.8,32.8998,31.74,INTC,131091,0,0.69
0.8317,98.01,0.1328,96.34,98.36,95.27,AMD,456392,3,3.13
0.7363,164.9,1.5644,162.44,165.0,162.13,AAPL,876845,5,4.7
0.9318,207.46,6.2372,197.53,207.79,197.23,TSLA,889888,3,8.06
0.475,9.79,10.872,8.9,9.79,8.77,CVNA,23366,-5,6.93
0.7248,288.3,1.4962,283.73,288.81,283.03,MSFT,442667,3,2.07
0.6957,120.45,1.1335,119.38,120.53,118.985,EA,20709,0,0.0
0.7219,130.31,1.2117,129.66,130.34,128.8514,JPM,82481,0,-2.99
0.6778,103.73,2.8149,101.3,103.89,101.05,GOOGL,159932,3,2.16
0.6381,103.29,1.2647,102.16,103.42,101.95,AMZN,587493,-4,3.46
