high,price,low,symbol,open,percentchange,relvolume,watchers,hourchange,sentiment
90.92,90.65,89.75,SONY,89.77,1.5004,1.4706,2084,0,0.0
278.34,277.77,271.05,NVDA,271.4,1.4388,0.7758,420632,3,4.22
212.12,210.28,205.81,ENPH,206.02,2.4407,0.544,37334,0,0.66
131.23,131.09,129.42,IBM,129.47,1.4471,0.5809,51344,0,2.13
463.32,461.72,459.45,NOC,462.98,0.1605,0.4159,8029,0,0.0
5.055,5.01,4.87,AMC,4.91,0.8048,0.4763,412477,3,0.08
6.17,6.07,5.67,SOFI,5.75,6.1189,1.0566,91790,4,1.84
212.17,211.94,206.77,META,207.24,1.9727,0.653,512339,5,4.32
32.8998,32.67,31.74,INTC,31.8,1.8074,1.0575,131091,0,0.69
98.36,98.01,95.27,AMD,96.34,0.1328,0.8317,456392,3,3.13
165.0,164.9,162.13,AAPL,162.44,1.5644,0.7363,876845,5,4.7
207.79,207.46,197.23,TSLA,197.53,6.2372,0.9318,889888,3,8.06
9.79,9.79,8.77,CVNA,8.9,10.872,0.475,23366,-5,6.93
288.81,288.3,283.03,MSFT,283.73,1.4962,0.7248,442667,3,2.07
120.53,120.45,118.985,EA,119.38,1.1335,0.6957,20709,0,0.0
130.34,130.31,128.8514,JPM,129.66,1.2117,0.7219,82481,0,-2.99
103.89,103.73,101.05,GOOGL,101.3,2.8149,0.6778,159932,3,2.16
103.42,103.29,101.95,AMZN,102.16,1.2647,0.6381,587493,-4,3.46
