price,open,relvolume,percentchange,low,symbol,high,watchers,hourchange,sentiment
90.65,89.77,1.4706,1.5004,89.75,SONY,90.92,2084,0,0.0
277.77,271.4,0.7758,1.4388,271.05,NVDA,278.34,420632,3,4.22
210.28,206.02,0.544,2.4407,205.81,ENPH,212.12,37334,0,0.66
131.09,129.47,0.5809,1.4471,129.42,IBM,131.23,51344,0,2.13
461.72,462.98,0.4159,0.1605,459.45,NOC,463.32,8029,0,0.0
5.01,4.91,0.4763,0.8048,4.87,AMC,5.055,412477,3,0.08
6.07,5.75,1.0566,6.1189,5.67,SOFI,6.17,91790,4,1.84
211.94,207.24,0.653,1.9727,206.77,META,212.17,512339,5,4.32
32.67,31.8,1.0575,1.8074,31.74,INTC,32.8998,131091,0,0.69
98.01,96.34,0.8317,0.1328,95.27,AMD,98.36,456392,3,3.13
164.9,162.44,0.7363,1.5644,162.13,AAPL,165.0,876845,5,4.7
207.46,197.53,0.9318,6.2372,197.23,TSLA,207.79,889888,3,8.06
9.79,8.9,0.475,10.872,8.77,CVNA,9.79,23366,-5,6.93
288.3,283.73,0.7248,1.4962,283.03,MSFT,288.81,442667,3,2.07
120.45,119.38,0.6957,1.1335,118.985,EA,120.53,20709,0,0.0
130.31,129.66,0.7219,1.2117,128.8514,JPM,130.34,82481,0,-2.99
103.73,101.3,0.6778,2.8149,101.05,GOOGL,103.89,159932,3,2.16
103.29,102.16,0.6381,1.2647,101.95,AMZN,103.42,587493,-4,3.46
