percentchange,high,price,low,symbol,relvolume,open,watchers,hourchange,sentiment
1.724,470.18,469.68,462.72,NOC,0.2714,463.3,8030,2,0.0
-1.1759,288.27,284.91,283.95,MSFT,0.4727,286.52,442825,6,-1.18
-1.0404,279.91,274.88,273.36,NVDA,0.5178,275.09,420815,1,0.1
-0.552,211.74,210.77,208.2001,META,0.3434,208.84,512444,-5,-0.23
-3.3194,215.8856,203.3,201.6293,ENPH,0.6187,213.98,37367,2,1.88
-7.1008,202.6897,192.7286,192.2,TSLA,0.7404,199.91,890298,24,-2.2
-0.1213,165.89,164.7,164.27,AAPL,0.4627,164.27,877053,2,-0.19
0.801,132.61,132.14,130.77,IBM,0.3063,130.97,51351,0,2.08
-0.1381,131.43,130.13,129.41,JPM,0.4194,129.91,82510,-1,4.05
0.1826,120.96,120.67,119.6,EA,0.3384,120.14,20708,0,0.0
-0.6025,103.79,103.105,102.11,GOOGL,0.3314,102.39,160004,2,0.48
-1.4909,103.29,101.75,101.58,AMZN,0.3939,102.3,587671,3,0.69
-2.714,96.79,95.35,94.81,AMD,0.577,96.695,456499,2,-0.61
0.1544,91.01,90.79,90.455,SONY,0.6137,90.41,2089,0,0.0
0.1224,33.56,32.71,32.54,INTC,0.7959,32.94,131144,1,-0.52
-5.6221,10.16,9.2396,9.12,CVNA,0.3801,9.64,23354,0,1.23
-0.5766,6.275,6.035,5.94,SOFI,0.6028,6.14,91842,-2,-1.05
1.0978,5.145,5.065,4.94,AMC,0.3807,4.99,412505,-4,0.05
