price,relvolume,low,percentchange,open,symbol,high,watchers,hourchange,sentiment
471.55,0.3074,462.72,2.129,463.3,NOC,471.55,8030,0,0.0
285.555,0.5082,283.95,-0.9521,286.52,MSFT,288.27,442828,3,-0.87
276.29,0.5587,273.36,-0.5328,275.09,NVDA,279.91,420819,4,0.31
211.8,0.3728,208.2001,-0.0661,208.84,META,211.84,512444,0,0.2
203.69,0.6464,201.6293,-3.1339,213.98,ENPH,215.8856,37370,3,1.7
193.73,0.8037,192.2,-6.6181,199.91,TSLA,202.6897,890303,5,-1.72
165.35,0.5097,164.27,0.2729,164.27,AAPL,165.89,877059,6,0.34
132.27,0.3389,130.77,0.9001,130.97,IBM,132.61,51351,0,2.08
130.26,0.4643,129.41,-0.0384,129.91,JPM,131.43,82510,0,4.02
121.06,0.3692,119.6,0.5064,120.14,EA,121.06,20708,0,0.0
103.375,0.3604,102.11,-0.3422,102.39,GOOGL,103.79,160006,2,1.2
101.91,0.4287,101.43,-1.336,102.3,AMZN,103.29,587674,3,1.02
95.78,0.6144,94.81,-2.2753,96.695,AMD,96.79,456500,1,-1.17
90.92,0.7297,90.455,0.2978,90.41,SONY,91.01,2089,0,0.0
32.865,0.8578,32.54,0.5969,32.94,INTC,33.56,131144,0,-0.59
9.245,0.3999,9.12,-5.5669,9.64,CVNA,10.16,23351,-3,0.88
6.0196,0.6586,5.94,-0.8303,6.14,SOFI,6.275,91843,1,-1.05
5.0949,0.4044,4.94,1.6946,4.99,AMC,5.145,412504,-1,0.19
