percentchange,low,open,symbol,relvolume,price,high,watchers,hourchange,sentiment
1.9947,462.72,463.3,NOC,0.3126,470.93,471.55,8030,0,0.0
-0.8429,283.95,286.52,MSFT,0.5169,285.87,288.27,442828,3,-0.87
-0.3816,273.36,275.09,NVDA,0.5755,276.71,279.91,420819,4,0.31
0.1368,208.2001,208.84,META,0.3873,212.23,212.3496,512444,0,0.2
-2.9627,201.6293,213.98,ENPH,0.6581,204.05,215.8856,37370,3,1.7
-6.4133,192.2,199.91,TSLA,0.822,194.155,202.6897,890303,5,-1.72
0.3548,164.27,164.27,AAPL,0.5281,165.485,165.89,877059,6,0.34
0.862,130.77,130.97,IBM,0.345,132.22,132.61,51351,0,2.08
-0.0153,129.41,129.91,JPM,0.4732,130.29,131.43,82510,0,4.02
0.5729,119.6,120.14,EA,0.376,121.14,121.17,20708,0,0.0
-0.2073,102.11,102.39,GOOGL,0.3689,103.515,103.79,160006,2,1.2
-1.3069,101.43,102.3,AMZN,0.4359,101.9401,103.29,587674,3,1.02
-2.1528,94.81,96.695,AMD,0.6263,95.9,96.79,456500,1,-1.17
0.2482,90.455,90.41,SONY,0.7454,90.875,91.01,2089,0,0.0
0.4744,32.54,32.94,INTC,0.8767,32.825,33.56,131144,0,-0.59
-4.3922,9.12,9.64,CVNA,0.4083,9.36,10.16,23351,-3,0.88
-0.3295,5.94,6.14,SOFI,0.669,6.05,6.275,91843,1,-1.05
1.497,4.94,4.99,AMC,0.4107,5.085,5.145,412504,-1,0.19
