price,percentchange,high,symbol,relvolume,low,open,watchers,hourchange,sentiment
132.08,0.7552,132.61,IBM,0.5014,130.77,130.97,51351,0,2.08
213.13,0.5615,213.4861,META,0.5014,208.2001,208.84,512447,3,0.11
469.3,1.6417,471.55,NOC,0.4395,462.72,463.3,8031,1,0.0
194.65,-6.1747,202.6897,TSLA,0.9487,192.2,199.91,890319,16,-1.76
121.4,0.7887,121.65,EA,0.5851,119.6,120.14,20708,0,0.0
166.175,0.7732,166.29,AAPL,0.6998,164.27,164.27,877070,11,0.48
9.305,-4.954,10.16,CVNA,0.4915,9.085,9.64,23361,10,0.88
202.66,-3.6237,215.8856,ENPH,0.7684,201.6293,213.98,37369,-1,1.5
96.6,-1.4386,96.79,AMD,0.7543,94.81,96.695,456505,5,-1.17
102.4,-0.8617,103.29,AMZN,0.5293,101.43,102.3,587675,1,1.17
104.42,0.6652,104.53,GOOGL,0.5137,102.11,102.39,160009,3,1.42
130.18,-0.0998,131.43,JPM,0.5897,129.41,129.91,82511,1,4.35
279.73,0.7056,280.0,NVDA,0.736,273.36,275.09,420821,2,0.05
6.03,-0.659,6.275,SOFI,0.8172,5.94,6.14,91846,3,-1.17
91.35,0.7722,91.38,SONY,1.0137,90.455,90.41,2089,0,0.0
5.075,1.2974,5.145,AMC,0.4861,4.94,4.99,412503,-1,0.2
32.915,0.7499,33.56,INTC,1.0724,32.54,32.94,131140,-4,-0.19
287.2132,-0.377,288.27,MSFT,0.6614,283.95,286.52,442828,0,-1.21
