price,symbol,open,low,relvolume,percentchange,high,watchers,hourchange,sentiment
287.23,MSFT,286.52,283.95,0.6614,-0.3711,288.27,442830,2,-0.39
132.06,IBM,130.97,130.77,0.5014,0.7399,132.61,51352,1,2.17
469.19,NOC,463.3,462.72,0.4395,1.6179,471.55,8031,0,0.0
213.07,META,208.84,208.2001,0.5014,0.5332,213.4861,512449,2,0.42
194.77,TSLA,199.91,192.2,0.9487,-6.1168,202.6897,890336,17,-1.66
121.35,EA,120.14,119.6,0.5851,0.7472,121.65,20708,0,0.0
166.17,AAPL,164.27,164.27,0.6998,0.7702,166.29,877071,1,0.79
9.29,CVNA,9.64,9.085,0.4915,-5.1073,10.16,23359,-2,0.64
202.6,ENPH,213.98,201.6293,0.7684,-3.6523,215.8856,37370,1,1.69
96.56,AMD,96.695,94.81,0.7543,-1.4794,96.79,456507,2,-1.42
102.41,AMZN,102.3,101.43,0.5293,-0.852,103.29,587676,1,0.9
104.36,GOOGL,102.39,102.11,0.5137,0.6073,104.53,160010,1,1.72
130.16,JPM,129.91,129.41,0.5897,-0.1151,131.43,82515,4,3.75
279.65,NVDA,275.09,273.36,0.736,0.6768,280.0,420832,11,0.99
6.03,SOFI,6.14,5.94,0.8172,-0.659,6.275,91845,-1,-1.16
91.33,SONY,90.41,90.455,1.0137,0.7501,91.38,2088,-1,0.0
5.11,AMC,4.99,4.94,0.4861,1.996,5.145,412504,1,0.38
32.89,INTC,32.94,32.54,1.0724,0.6734,33.56,131141,1,0.09
