percentchange,relvolume,high,symbol,price,open,low,watchers,hourchange,sentiment
-0.3711,0.6614,288.27,MSFT,287.23,286.52,283.95,442830,2,-0.39
0.7399,0.5014,132.61,IBM,132.06,130.97,130.77,51352,1,2.17
1.6179,0.4395,471.55,NOC,469.19,463.3,462.72,8031,0,0.0
0.5332,0.5014,213.4861,META,213.07,208.84,208.2001,512449,2,0.42
-6.1168,0.9487,202.6897,TSLA,194.77,199.91,192.2,890336,17,-1.66
0.7472,0.5851,121.65,EA,121.35,120.14,119.6,20708,0,0.0
0.7702,0.6998,166.29,AAPL,166.17,164.27,164.27,877071,1,0.79
-5.1073,0.4915,10.16,CVNA,9.29,9.64,9.085,23359,-2,0.64
-3.6523,0.7684,215.8856,ENPH,202.6,213.98,201.6293,37370,1,1.69
-1.4794,0.7543,96.79,AMD,96.56,96.695,94.81,456507,2,-1.42
0.6073,0.5137,104.53,GOOGL,104.36,102.39,102.11,160010,1,1.72
-0.852,0.5293,103.29,AMZN,102.41,102.3,101.43,587676,1,0.9
-0.1151,0.5897,131.43,JPM,130.16,129.91,129.41,82515,4,3.75
0.6768,0.736,280.0,NVDA,279.65,275.09,273.36,420832,11,0.99
-0.659,0.8172,6.275,SOFI,6.03,6.14,5.94,91845,-1,-1.16
0.7501,1.0137,91.38,SONY,91.33,90.41,90.455,2088,-1,0.0
1.996,0.4861,5.145,AMC,5.11,4.99,4.94,412504,1,0.38
0.6734,1.0724,33.56,INTC,32.89,32.94,32.54,131141,1,0.09
