percentchange,open,price,symbol,high,relvolume,low,watchers,hourchange,sentiment
0.6734,32.94,32.89,INTC,33.56,1.0724,32.54,131141,1,0.09
-0.3711,286.52,287.23,MSFT,288.27,0.6614,283.95,442830,2,-0.39
1.6179,463.3,469.19,NOC,471.55,0.4395,462.65,8031,0,0.0
0.7399,130.97,132.06,IBM,132.61,0.5014,130.77,51352,1,2.17
0.5332,208.84,213.07,META,213.4861,0.5014,208.2001,512449,2,0.42
-6.1168,199.91,194.77,TSLA,202.6897,0.9487,192.2,890336,17,-1.66
0.7472,120.14,121.35,EA,121.65,0.5851,119.6,20708,0,0.0
-5.1073,9.64,9.29,CVNA,10.16,0.4915,9.085,23359,-2,0.64
0.7702,164.27,166.17,AAPL,166.29,0.6998,164.27,877071,1,0.79
-3.6523,213.98,202.6,ENPH,215.8856,0.7684,201.6293,37370,1,1.69
0.6073,102.39,104.36,GOOGL,104.53,0.5137,102.11,160010,1,1.72
-1.4794,96.695,96.56,AMD,96.79,0.7543,94.81,456507,2,-1.42
-0.852,102.3,102.41,AMZN,103.29,0.5293,101.43,587676,1,0.9
-0.1151,129.91,130.16,JPM,131.43,0.5897,129.41,82515,4,3.75
0.6768,275.09,279.65,NVDA,280.0,0.736,273.36,420832,11,0.99
-0.659,6.14,6.03,SOFI,6.275,0.8172,5.94,91845,-1,-1.16
0.7501,90.41,91.33,SONY,91.38,1.0137,90.455,2088,-1,0.0
1.996,4.99,5.11,AMC,5.145,0.4861,4.94,412504,1,0.38
