symbol,open,price,relvolume,percentchange,low,high,watchers,hourchange,sentiment
SONY,90.41,91.33,1.0137,0.7501,90.41,91.38,2088,0,0.0
NVDA,275.09,279.65,0.736,0.6768,273.36,280.0,420840,8,0.99
SOFI,6.14,6.03,0.8172,-0.659,5.94,6.275,91844,-1,-1.22
AMC,4.99,5.11,0.4861,1.996,4.94,5.145,412500,-4,0.46
INTC,32.94,32.89,1.0724,0.6734,32.54,33.56,131142,1,0.28
MSFT,286.52,287.23,0.6614,-0.3711,283.95,288.27,442829,-1,-0.39
IBM,130.97,132.06,0.5014,0.7399,130.77,132.61,51354,2,2.17
NOC,463.3,469.19,0.4395,1.6179,462.65,471.55,8031,0,0.0
TSLA,199.91,194.77,0.9487,-6.1168,192.2,202.6897,890345,9,-1.25
META,208.84,213.07,0.5014,0.5332,208.2001,213.4861,512458,9,1.13
EA,120.14,121.35,0.5851,0.7472,119.6,121.65,20708,0,0.0
ENPH,213.98,202.6,0.7684,-3.6523,201.6293,215.8856,37372,2,1.98
AAPL,164.27,166.17,0.6998,0.7702,164.27,166.29,877079,8,1.35
CVNA,9.64,9.29,0.4915,-5.1073,9.085,10.16,23359,0,-0.36
AMD,96.695,96.56,0.7543,-1.4794,94.81,96.79,456507,0,-0.99
AMZN,102.3,102.41,0.5293,-0.852,101.43,103.29,587682,6,1.05
GOOGL,102.39,104.36,0.5137,0.6073,102.11,104.53,160012,2,1.9
JPM,129.91,130.16,0.5897,-0.1151,129.41,131.44,82515,0,4.44
