price,high,open,low,symbol,relvolume,percentchange,watchers,hourchange,sentiment
279.65,280.0,275.09,273.36,NVDA,0.736,0.6768,420840,8,0.99
91.33,91.38,90.41,90.41,SONY,1.0137,0.7501,2088,0,0.0
6.03,6.275,6.14,5.94,SOFI,0.8172,-0.659,91844,-1,-1.22
5.11,5.145,4.99,4.94,AMC,0.4861,1.996,412500,-4,0.46
32.89,33.56,32.94,32.54,INTC,1.0724,0.6734,131142,1,0.28
287.23,288.27,286.52,283.95,MSFT,0.6614,-0.3711,442829,-1,-0.39
132.06,132.61,130.97,130.77,IBM,0.5014,0.7399,51354,2,2.17
469.19,471.55,463.3,462.65,NOC,0.4395,1.6179,8031,0,0.0
194.77,202.6897,199.91,192.2,TSLA,0.9487,-6.1168,890345,9,-1.25
213.07,213.4861,208.84,208.2001,META,0.5014,0.5332,512458,9,1.13
121.35,121.65,120.14,119.6,EA,0.5851,0.7472,20708,0,0.0
202.6,215.8856,213.98,201.6293,ENPH,0.7684,-3.6523,37372,2,1.98
166.17,166.29,164.27,164.27,AAPL,0.6998,0.7702,877079,8,1.35
9.29,10.16,9.64,9.085,CVNA,0.4915,-5.1073,23359,0,-0.36
96.56,96.79,96.695,94.81,AMD,0.7543,-1.4794,456507,0,-0.99
104.36,104.53,102.39,102.11,GOOGL,0.5137,0.6073,160012,2,1.9
102.41,103.29,102.3,101.43,AMZN,0.5293,-0.852,587682,6,1.05
130.16,131.44,129.91,129.41,JPM,0.5897,-0.1151,82515,0,4.44
