relvolume,price,high,open,low,symbol,percentchange,watchers,hourchange,sentiment
0.5897,130.16,131.44,129.91,129.41,JPM,-0.1151,82515,0,3.34
0.736,279.65,280.0,275.09,273.36,NVDA,0.6768,420845,5,1.04
0.8172,6.03,6.275,6.14,5.94,SOFI,-0.659,91844,0,-1.21
1.0137,91.33,91.38,90.41,90.41,SONY,0.7501,2088,0,0.0
0.4861,5.11,5.145,4.99,4.94,AMC,1.996,412536,36,0.45
1.0724,32.89,33.56,32.94,32.54,INTC,0.6734,131144,2,0.27
0.6614,287.23,288.27,286.52,283.95,MSFT,-0.3711,442830,1,-0.02
0.5014,132.06,132.61,130.97,130.77,IBM,0.7399,51354,0,2.17
0.9487,194.77,202.6897,199.91,192.2,TSLA,-6.1168,890355,10,-1.07
0.5014,213.07,213.4861,208.84,208.2001,META,0.5332,512460,2,1.58
0.4395,469.19,471.55,463.3,462.65,NOC,1.6179,8034,3,0.0
0.5851,121.35,121.65,120.14,119.6,EA,0.7472,20708,0,8.33
0.6998,166.17,166.29,164.27,164.27,AAPL,0.7702,877083,4,1.52
0.7684,202.6,215.8856,213.98,201.6293,ENPH,-3.6523,37373,1,1.41
0.4915,9.29,10.16,9.64,9.085,CVNA,-5.1073,23358,-1,-0.11
0.5293,102.41,103.29,102.3,101.43,AMZN,-0.852,587686,4,0.96
0.5137,104.36,104.53,102.39,102.11,GOOGL,0.6073,160017,5,2.03
0.7543,96.56,96.79,96.695,94.81,AMD,-1.4794,456503,-4,-1.06
