high,percentchange,low,relvolume,symbol,price,open,watchers,hourchange,sentiment
288.27,-0.3711,283.95,0.6614,MSFT,287.23,286.52,442836,6,-0.06
132.61,0.7399,130.77,0.5014,IBM,132.06,130.97,51354,0,2.17
202.6897,-6.1168,192.2,0.9487,TSLA,194.77,199.91,890366,11,-0.86
471.55,1.6179,462.65,0.4395,NOC,469.19,463.3,8034,0,0.0
213.4861,0.5332,208.2001,0.5014,META,213.07,208.84,512473,13,1.8
121.65,0.7472,119.6,0.5851,EA,121.35,120.14,20708,0,8.33
166.29,0.7702,164.27,0.6998,AAPL,166.17,164.27,877087,4,1.71
215.8856,-3.6523,201.6293,0.7684,ENPH,202.6,213.98,37373,0,1.41
103.29,-0.852,101.43,0.5293,AMZN,102.41,102.3,587689,3,0.93
10.16,-5.1073,9.085,0.4915,CVNA,9.29,9.64,23358,0,-0.11
96.79,-1.4794,94.81,0.7543,AMD,96.56,96.695,456499,-4,-0.82
104.53,0.6073,102.11,0.5137,GOOGL,104.36,102.39,160020,3,2.83
131.44,-0.1151,129.41,0.5897,JPM,130.16,129.91,82515,0,2.75
280.0,0.6768,273.36,0.736,NVDA,279.65,275.09,420848,3,1.19
91.38,0.7501,90.41,1.0137,SONY,91.33,90.41,2088,0,0.0
6.275,-0.659,5.94,0.8172,SOFI,6.03,6.14,91843,-1,-1.09
5.145,1.996,4.94,0.4861,AMC,5.11,4.99,412592,56,0.17
33.56,0.6734,32.54,1.0724,INTC,32.89,32.94,131144,0,0.52
