symbol,relvolume,low,high,open,percentchange,price,watchers,hourchange,sentiment
EA,0.5851,119.6,121.65,120.14,0.7472,121.35,20708,0,8.33
MSFT,0.6614,283.95,288.27,286.52,-0.3711,287.23,442840,4,0.29
IBM,0.5014,130.77,132.61,130.97,0.7399,132.06,51353,-1,2.17
TSLA,0.9487,192.2,202.6897,199.91,-6.1168,194.77,890371,5,-0.74
META,0.5014,208.2001,213.4861,208.84,0.5332,213.07,512476,3,2.09
NOC,0.4395,462.65,471.55,463.3,1.6179,469.19,8034,0,0.0
AAPL,0.6998,164.27,166.29,164.27,0.7702,166.17,877088,1,2.15
ENPH,0.7684,201.6293,215.8856,213.98,-3.6523,202.6,37376,3,1.41
AMZN,0.5293,101.43,103.29,102.3,-0.852,102.41,587693,4,1.18
CVNA,0.4915,9.085,10.16,9.64,-5.1073,9.29,23357,-1,-0.11
AMD,0.7543,94.81,96.79,96.695,-1.4794,96.56,456501,2,-0.6
GOOGL,0.5137,102.11,104.53,102.39,0.6073,104.36,160022,2,2.83
JPM,0.5897,129.41,131.44,129.91,-0.1151,130.16,82515,0,2.48
NVDA,0.736,273.36,280.0,275.09,0.6768,279.65,420852,4,1.35
SONY,1.0137,90.41,91.38,90.41,0.7501,91.33,2088,0,0.0
SOFI,0.8172,5.94,6.275,6.14,-0.659,6.03,91844,1,-1.09
AMC,0.4861,4.94,5.145,4.99,1.996,5.11,412607,15,-0.24
INTC,1.0724,32.54,33.56,32.94,0.6734,32.89,131144,0,0.52
