low,open,symbol,percentchange,price,high,relvolume,watchers,hourchange,sentiment
119.6,120.14,EA,0.7472,121.35,121.65,0.5851,20708,0,8.33
129.41,129.91,JPM,-0.1151,130.16,131.44,0.5897,82515,0,2.48
102.11,102.39,GOOGL,0.6073,104.36,104.53,0.5137,160022,2,2.83
273.36,275.09,NVDA,0.6768,279.65,280.0,0.736,420852,4,1.35
90.41,90.41,SONY,0.7501,91.33,91.38,1.0137,2088,0,0.0
5.94,6.14,SOFI,-0.659,6.03,6.275,0.8172,91844,1,-1.09
4.94,4.99,AMC,1.996,5.11,5.145,0.4861,412607,15,-0.24
32.54,32.94,INTC,0.6734,32.89,33.56,1.0724,131144,0,0.52
283.95,286.52,MSFT,-0.3711,287.23,288.27,0.6614,442840,4,0.29
130.77,130.97,IBM,0.7399,132.06,132.61,0.5014,51353,-1,2.17
462.65,463.3,NOC,1.6179,469.19,471.55,0.4395,8034,0,0.0
192.2,199.91,TSLA,-6.1168,194.77,202.6897,0.9487,890371,5,-0.74
164.27,164.27,AAPL,0.7702,166.17,166.29,0.6998,877088,1,2.15
208.2001,208.84,META,0.5332,213.07,213.4861,0.5014,512476,3,2.09
201.6293,213.98,ENPH,-3.6523,202.6,215.8856,0.7684,37376,3,1.41
9.085,9.64,CVNA,-5.1073,9.29,10.16,0.4915,23357,-1,-0.11
101.43,102.3,AMZN,-0.852,102.41,103.29,0.5293,587693,4,1.18
94.81,96.695,AMD,-1.4794,96.56,96.79,0.7543,456501,2,-0.6
