symbol,price,low,percentchange,high,open,relvolume,watchers,hourchange,sentiment
EA,121.35,119.6,0.7472,121.65,120.14,0.5851,20708,0,8.33
JPM,130.16,129.41,-0.1151,131.44,129.91,0.5897,82515,0,2.48
GOOGL,104.36,102.11,0.6073,104.53,102.39,0.5137,160022,2,2.83
NVDA,279.65,273.36,0.6768,280.0,275.09,0.736,420852,4,1.35
SONY,91.33,90.41,0.7501,91.38,90.41,1.0137,2088,0,0.0
SOFI,6.03,5.94,-0.659,6.275,6.14,0.8172,91844,1,-1.09
AMC,5.11,4.94,1.996,5.145,4.99,0.4861,412607,15,-0.24
INTC,32.89,32.54,0.6734,33.56,32.94,1.0724,131144,0,0.52
MSFT,287.23,283.95,-0.3711,288.27,286.52,0.6614,442840,4,0.29
IBM,132.06,130.77,0.7399,132.61,130.97,0.5014,51353,-1,2.17
NOC,469.19,462.65,1.6179,471.55,463.3,0.4395,8034,0,0.0
TSLA,194.77,192.2,-6.1168,202.6897,199.91,0.9487,890371,5,-0.74
AAPL,166.17,164.27,0.7702,166.29,164.27,0.6998,877088,1,2.15
META,213.07,208.2001,0.5332,213.4861,208.84,0.5014,512476,3,2.09
ENPH,202.6,201.6293,-3.6523,215.8856,213.98,0.7684,37376,3,1.41
CVNA,9.29,9.085,-5.1073,10.16,9.64,0.4915,23357,-1,-0.11
AMZN,102.41,101.43,-0.852,103.29,102.3,0.5293,587693,4,1.18
AMD,96.56,94.81,-1.4794,96.79,96.695,0.7543,456501,2,-0.6
