relvolume,symbol,price,percentchange,low,open,high,watchers,hourchange,sentiment
0.5851,EA,121.35,0.7472,119.6,120.14,121.65,20708,0,8.33
0.5897,JPM,130.16,-0.1151,129.41,129.91,131.44,82515,0,2.48
0.5137,GOOGL,104.36,0.6073,102.11,102.39,104.53,160022,2,2.83
0.736,NVDA,279.65,0.6768,273.36,275.09,280.0,420852,4,1.35
1.0137,SONY,91.33,0.7501,90.41,90.41,91.38,2088,0,0.0
0.8172,SOFI,6.03,-0.659,5.94,6.14,6.275,91844,1,-1.09
0.4861,AMC,5.11,1.996,4.94,4.99,5.145,412607,15,-0.24
1.0724,INTC,32.89,0.6734,32.54,32.94,33.56,131144,0,0.52
0.6614,MSFT,287.23,-0.3711,283.95,286.52,288.27,442840,4,0.29
0.5014,IBM,132.06,0.7399,130.77,130.97,132.61,51353,-1,2.17
0.4395,NOC,469.19,1.6179,462.65,463.3,471.55,8034,0,0.0
0.9487,TSLA,194.77,-6.1168,192.2,199.91,202.6897,890371,5,-0.74
0.6998,AAPL,166.17,0.7702,164.27,164.27,166.29,877088,1,2.15
0.5014,META,213.07,0.5332,208.2001,208.84,213.4861,512476,3,2.09
0.7684,ENPH,202.6,-3.6523,201.6293,213.98,215.8856,37376,3,1.41
0.4915,CVNA,9.29,-5.1073,9.085,9.64,10.16,23357,-1,-0.11
0.5293,AMZN,102.41,-0.852,101.43,102.3,103.29,587693,4,1.18
0.7543,AMD,96.56,-1.4794,94.81,96.695,96.79,456501,2,-0.6
